Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,011_Bourgeanic_acid
22,145.9296,512.903,130800.0,1,22.0,0,neg_fragment,fragment,0,,NEG,50.0,18,,,,,,,,,,,,,,,,,,,,,18511570.08
23,187.9409,505.597,471100.0,-1,23.0,0,neg_fragment,fragment,0,,NEG,51.0,1,,,,,,,,,,,,,,,,,,,,,7843813.736
24,187.9278,510.262,889500.0,-1,24.0,0,neg_cossingleton,cossingleton,0,,NEG,53.0,1,,,,,,,,,,,,,,,,,,,,,15455094.33
25,182.9019,509.951,383100.0,1,25.0,0,neg_cossingleton,cossingleton,0,,NEG,59.0,126,,,,,,,,,,,,,,,,,,,,,5994365.387999999
27,352.8534,512.792,247500.0,-1,27.0,0,neg_precursor,precursor,0,,NEG,63.0,18,,,,,,,,,,,,,,,,,,,,,10636032.5
30,316.9477,13.891,756400.0,-1,30.0,0,neg_cossingleton,cossingleton,0,,NEG,70.0,74,,,,,,,,,,,,,,,,,,,,,6569902.812000001
32,239.9024,533.667,137300.0,-1,32.0,0,neg_adduct,adduct,0,[M-H]-,NEG,73.0,66,,,,,,,,,,,,,,,,,,,,,6774221.612000001
46,384.935,13.895,532300.0,-1,46.0,0,neg_adduct,adduct,0,[M-H]-,NEG,92.0,74,,,,,,,,,,,,,,,,,,,,,4150871.923
47,142.9278,505.003,731100.0,1,47.0,0,neg_cossingleton,cossingleton,0,,NEG,93.0,1,,,,,,,,,,,,,,,,,,,,,1771482.102
49,239.9025,4.147,107300.0,-1,49.0,0,neg_adduct,adduct,0,[M-H]-,NEG,95.0,82,,,,,,,,,,,,,,,,,,,,,3607906.66
53,160.9171,504.354,328600.0,-1,53.0,0,neg_cossingleton,cossingleton,0,,NEG,99.0,1,,,,,,,,,,,,,,,,,,,,,2168374.5840000003
55,244.8482,504.285,321300.0,-1,55.0,0,neg_cossingleton,cossingleton,0,,NEG,101.0,1,,,,,,,,,,,,,,,,,,,,,1457133.434
60,151.039,6.59,326100.0,-1,60.0,0,neg_cossingleton,cossingleton,0,,NEG,114.0,123,,,,,,,,,,,,,,,,,,,,,818107.5119
61,186.1125,75.61,78400.0,-1,61.0,0,neg_cossingleton,cossingleton,0,,NEG,116.0,120,,,,,,,,,,,,,,,,,,,,,808408.5243
63,228.9938,500.033,142500.0,-1,63.0,0,neg_cossingleton,cossingleton,0,,NEG,119.0,123,,,,,,,,,,,,,,,,,,,,,1462220.6430000002
66,132.8665,15.528,246300.0,1,66.0,0,neg_singleton,singleton,0,,NEG,122.0,-1,,,,,,,,,,,,,,,,,,,,,1207068.5259999998
68,1025.1626,476.545,335300.0,-1,68.0,0,neg_adduct,adduct,0,[M-H]-,NEG,124.0,102,,,,,,,,,,,,,,,,,,,,,679469.5146
69,452.9224,13.904,402500.0,-1,69.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,127.0,74,,,,,,,,,,,,,,,,,,,,,3046054.716
99,951.2352,460.193,696200.0,-1,99.0,0,neg_cossingleton,cossingleton,0,,NEG,169.0,11,,,,,,,,,,,,,,,,,,,,,3393827.514
104,250.1446,294.442,165800.0,-1,104.0,0,neg_singleton,singleton,0,,NEG,175.0,-1,,,,,,,,,,,,,,,,,,,,,515643.8995
111,381.1951,406.831,235100.0,1,111.0,0,neg_cossingleton,cossingleton,0,,NEG,183.0,156,,,,,,,,,,,,,,,,,,,,,1796249.7219999998
114,255.2326,375.743,126800.0,-1,114.0,0,neg_singleton,singleton,0,,NEG,186.0,-1,,,,,,,,,,,,,,,,,,,,,1638057.134
120,312.8363,444.291,417000.0,-1,120.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,192.0,46,,,,,,,,,,,,,,,,,,,,,7587794.675
121,252.9169,442.868,274500.0,-1,121.0,0,neg_cossingleton,cossingleton,0,,NEG,194.0,1,,,,,,,,,,,,,,,,,,,,,2002255.414
124,192.9971,450.953,259500.0,1,124.0,0,neg_cossingleton,cossingleton,0,,NEG,198.0,126,,,,,,,,,,,,,,,,,,,,,215020.1838
159,200.924,438.179,372500.0,1,159.0,0,neg_cossingleton,cossingleton,0,,NEG,238.0,1,,,,,,,,,,,,,,,,,,,,,1857245.577
162,235.9255,534.496,273500.0,-1,162.0,0,neg_precursor,precursor,0,,NEG,241.0,31,,,,,,,,,,,,,,,,,,,,,32042096.3
164,192.9976,340.007,398100.0,-1,164.0,0,neg_cossingleton,cossingleton,0,,NEG,243.0,126,,,,,,,,,,,,,,,,,,,,,1145994.883
175,178.9767,4.799,114600.0,1,175.0,0,neg_cossingleton,cossingleton,0,,NEG,256.0,107,,,,,,,,,,,,,,,,,,,,,2274422.954
186,463.152,377.239,151200.0,-1,186.0,0,neg_precursor,precursor,0,,NEG,270.0,28,,,,,,,,,,,,,,,,,,,,,1882114.307
192,197.8072,507.196,10203500.0,1,192.0,0,neg_cossingleton,cossingleton,0,,NEG,277.0,130,,,,,,,,,,,,,,,,,,,,,35143205.97
193,593.1213,448.027,5341000.0,-1,193.0,0,neg_adduct,adduct,0,[M-H]-,NEG,278.0,11,,,,,,,,,,,,,,,,,,,,,29013228.65
194,683.1719,448.027,5113000.0,-1,194.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,281.0,11,,,,,,,,,,,,,,,,,,,,,13894237.44
195,729.1778,446.621,3172000.0,-1,195.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,283.0,11,,,,,,,,,,,,,,,,,,,,,11558229.01
196,743.1392,438.104,2821000.0,-1,196.0,0,neg_adduct,adduct,0,[M-H]-,NEG,284.0,17,,,,,,,,,,,,,,,,,,,,,6629622.542
198,207.9309,532.13,1084000.0,-1,198.0,0,neg_cossingleton,cossingleton,0,,NEG,290.0,31,,,,,,,,,,,,,,,,,,,,,25718585.92
199,307.8558,513.661,497900.0,-1,199.0,0,neg_adduct,adduct,0,[M-H]-,NEG,293.0,35,,,,,,,,,,,,,,,,,,,,,47519792.72
200,174.9551,183.442,4612000.0,1,200.0,0,neg_adduct,adduct,0,[M-H]-,NEG,301.0,78,,,,,,,,,,,,,,,,,,,,,4255645.075
201,209.8331,507.258,439400.0,1,201.0,0,neg_cossingleton,cossingleton,0,,NEG,305.0,76,,,,,,,,,,,,,,,,,,,,,4735504.676
202,132.8665,508.99,1513000.0,1,202.0,0,neg_singleton,singleton,0,,NEG,306.0,-1,,,,,,,,,,,,,,,,,,,,,7924523.001
203,833.1891,457.467,1274800.0,-1,203.0,0,neg_adduct,adduct,0,[M-H]-,NEG,307.0,106,,,,,,,,,,,,,,,,,,,,,2007331.839
204,178.9768,511.769,483600.0,1,204.0,0,neg_adduct,adduct,0,[M-H]-,NEG,308.0,107,,,,,,,,,,,,,,,,,,,,,23148682.27
205,235.9255,2.929,163000.0,-1,205.0,0,neg_precursor,precursor,0,,NEG,309.0,30,,,,,,,,,,,,,,,,,,,,,15779031.88
207,190.9276,536.336,932600.0,1,207.0,0,neg_adduct,adduct,0,[M-H]-,NEG,311.0,31,,,,,,,,,,,,,,,,,,,,,19373088.48
209,207.9305,2.937,274900.0,-1,209.0,0,neg_cossingleton,cossingleton,0,,NEG,316.0,30,,,,,,,,,,,,,,,,,,,,,12853592.11
211,190.9275,2.905,922500.0,1,211.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,321.0,30,,,,,,,,,,,,,,,,,,,,,8973606.056
213,146.9376,536.601,578300.0,1,213.0,0,neg_fragment,fragment,0,,NEG,324.0,31,,,,,,,,,,,,,,,,,,,,,8582639.383
214,173.9251,506.183,726200.0,1,214.0,0,neg_precursor,precursor,0,,NEG,325.0,1,,,,,,,,,,,,,,,,,,,,,3531324.344
237,383.1894,406.92,3251000.0,-1,237.0,0,neg_fragment,fragment,0,,NEG,360.0,100,,,,,,,,,,,,,,,,,,,,,35286881.17
240,180.9723,537.303,160000.0,1,240.0,0,neg_cossingleton,cossingleton,0,,NEG,365.0,112,,,,,,,,,,,,,,,,,,,,,3049162.6610000003
243,445.0847,400.745,141500.0,-1,243.0,0,neg_fragment,fragment,0,,NEG,368.0,70,,,,,,,,,,,,,,,,,,,,,215766.8204
253,375.1096,265.491,385400000.0,-1,253.0,0,neg_cossingleton,cossingleton,0,,NEG,384.0,123,Pseudoplacodiolic acid|Usnic acid,375.108|375.108,261.382996|263.34201,[M-H]-|[M-H+CH3OH]-,C19H20O8|C18H16O7,Oc1c(C(=O)C)c2OC3(C(C)(C(=O)C(=C(C3)O)C(=O)C)c2c(O)c1C)OC|CC12C(=O)C(=C(C=C1Oc1c2c(O)c(C)c(O)c1C(=O)C)O)C(=O)C,"InChI=1S/C19H20O8/c1-7-14(23)12(9(3)21)16-13(15(7)24)18(4)17(25)11(8(2)20)10(22)6-19(18,26-5)27-16/h22-24H,6H2,1-5H3|InChI=1S/C18H16O7/c1-6-14(22)12(8(3)20)16-13(15(6)23)18(4)10(25-16)5-9(21)11(7(2)19)17(18)24/h5,21-23H,1-4H3",WWSUFZCWOJULTK-UHFFFAOYSA-N|WEYVVCKOOFYHRW-UHFFFAOYSA-N,Dibenzofuranes|Dibenzofuranes,Thermo Q-Exactive Focus|Thermo Q-Exactive Focus,0.65|0.62,14|13,1.6|1.6,,,,,,,,851225.6417
258,234.8194,504.005,119900.0,-1,258.0,0,neg_cossingleton,cossingleton,0,,NEG,392.0,130,,,,,,,,,,,,,,,,,,,,,2171755.227
264,242.9431,537.098,127500.0,1,264.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,400.0,33,,,,,,,,,,,,,,,,,,,,,3005641.822
267,285.9086,7.032,161400.0,-1,267.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,403.0,82,,,,,,,,,,,,,,,,,,,,,1614448.085
270,304.9141,9.048,184300.0,-1,270.0,0,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,408.0,10,,,,,,,,,,,,,,,,,,,,,1420214.92
295,385.2955,333.642,124050000.0,-1,295.0,0,neg_adduct,adduct,0,[M-H]-,NEG,435.0,0,Bourgeanic acid,385.2954,332.001007,[M-H]-,C22H42O5,CC[C@@H](C)C[C@@H](C)[C@@H]([C@H](C)C(=O)O[C@@H]([C@H](C)C[C@H](C)CC)[C@H](C)C(=O)O)O,"InChI=1S/C22H42O5/c1-9-13(3)11-15(5)19(23)17(7)22(26)27-20(18(8)21(24)25)16(6)12-14(4)10-2/h13-20,23H,9-12H2,1-8H3,(H,24,25)/t13-,14-,15-,16-,17+,18+,19+,20+/m1/s1",ZQEUMOKDJCSNHB-IHRHECOVSA-N,Acids,Thermo Q-Exactive Focus,1.0,2,0.1,,,,,,,,5078956166.0
296,771.5987,333.642,221300000.0,-1,296.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,436.0,0,Bourgeanic acid,771.5986,330.955994,[2M-H]-,C22H42O5,CC[C@@H](C)C[C@@H](C)[C@@H]([C@H](C)C(=O)O[C@@H]([C@H](C)C[C@H](C)CC)[C@H](C)C(=O)O)O,"InChI=1S/C22H42O5/c1-9-13(3)11-15(5)19(23)17(7)22(26)27-20(18(8)21(24)25)16(6)12-14(4)10-2/h13-20,23H,9-12H2,1-8H3,(H,24,25)/t13-,14-,15-,16-,17+,18+,19+,20+/m1/s1",ZQEUMOKDJCSNHB-IHRHECOVSA-N,Acids,Thermo Q-Exactive Focus,1.0,10,0.1,,,,,,,,3445457204.0
297,201.1486,333.642,27280000.0,-1,297.0,0,neg_cossingleton,cossingleton,0,,NEG,437.0,26,,,,,,,,,,,,,,,,,,,,,3040528803.0
298,371.2798,322.033,16600000.0,-1,298.0,0,neg_adduct,adduct,0,[M-H]-,NEG,438.0,5,,,,,,,,,,,,,,,,,,,,,603036186.2
299,485.2189,336.774,4377000.0,-1,299.0,0,neg_cossingleton,cossingleton,0,,NEG,440.0,28,,,,,,,,,,,,,,,,,,,,,213325290.2
300,743.5675,321.571,14472000.0,-1,300.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,441.0,5,,,,,,,,,,,,,,,,,,,,,137788726.7
301,793.5804,337.381,7766000.0,-1,301.0,0,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,443.0,0,Bourgeanic acid,793.5806,331.217987,[2M-2H+Na]-,C22H42O5,CC[C@@H](C)C[C@@H](C)[C@@H]([C@H](C)C(=O)O[C@@H]([C@H](C)C[C@H](C)CC)[C@H](C)C(=O)O)O,"InChI=1S/C22H42O5/c1-9-13(3)11-15(5)19(23)17(7)22(26)27-20(18(8)21(24)25)16(6)12-14(4)10-2/h13-20,23H,9-12H2,1-8H3,(H,24,25)/t13-,14-,15-,16-,17+,18+,19+,20+/m1/s1",ZQEUMOKDJCSNHB-IHRHECOVSA-N,Acids,Thermo Q-Exactive Focus,0.99,15,0.2,,,,,,,,206886576.0
302,174.9549,505.719,3497000.0,1,302.0,0,neg_adduct,adduct,0,[M-H]-,NEG,444.0,15,,,,,,,,,,,,,,,,,,,,,58500637.05
303,144.9222,504.796,14486000.0,-1,303.0,0,neg_adduct,adduct,0,[M-H]-,NEG,446.0,1,,,,,,,,,,,,,,,,,,,,,35065570.67
304,765.5491,322.033,2680000.0,-1,304.0,0,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,449.0,5,,,,,,,,,,,,,,,,,,,,,41547819.92
305,187.1328,322.033,372200.0,-1,305.0,0,neg_cossingleton,cossingleton,0,,NEG,450.0,5,,,,,,,,,,,,,,,,,,,,,33432359.85
306,355.1582,375.196,3258000.0,-1,306.0,0,neg_adduct,adduct,0,[M-H]-,NEG,451.0,28,,,,,,,,,,,,,,,,,,,,,32122755.28
307,312.8363,504.764,1214100.0,-1,307.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,453.0,1,,,,,,,,,,,,,,,,,,,,,9146914.278
308,207.836,507.54,2231000.0,1,308.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,454.0,76,,,,,,,,,,,,,,,,,,,,,15102583.07
309,439.2672,322.033,862100.0,-1,309.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,459.0,5,,,,,,,,,,,,,,,,,,,,,31376984.43
310,134.8933,504.867,241700.0,-1,310.0,0,neg_cossingleton,cossingleton,0,,NEG,460.0,1,,,,,,,,,,,,,,,,,,,,,5679365.295
311,200.8582,504.247,847400.0,-1,311.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,461.0,1,,,,,,,,,,,,,,,,,,,,,13176414.68
312,215.868,508.502,1261300.0,-1,312.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,462.0,62,,,,,,,,,,,,,,,,,,,,,11179658.32
313,201.1488,282.564,395200.0,-1,313.0,0,neg_cossingleton,cossingleton,0,,NEG,465.0,110,,,,,,,,,,,,,,,,,,,,,17389251.31
314,357.265,293.915,897900.0,-1,314.0,0,neg_adduct,adduct,0,[M-H]-,NEG,466.0,110,,,,,,,,,,,,,,,,,,,,,19690073.06
315,146.9374,513.842,1408800.0,1,315.0,0,neg_fragment,fragment,0,,NEG,467.0,18,,,,,,,,,,,,,,,,,,,,,48053796.34
316,343.2494,283.465,764000.0,-1,316.0,0,neg_adduct,adduct,0,[M-H]-,NEG,468.0,26,,,,,,,,,,,,,,,,,,,,,16818302.4
317,453.283,331.395,444700.0,-1,317.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,471.0,0,,,,,,,,,,,,,,,,,,,,,6432377.29
318,743.1394,457.448,3598000.0,-1,318.0,0,neg_adduct,adduct,0,[M-H]-,NEG,472.0,50,,,,,,,,,,,,,,,,,,,,,10634238.84
319,217.865,508.519,556900.0,-1,319.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,475.0,76,,,,,,,,,,,,,,,,,,,,,6785363.1620000005
320,471.2047,321.571,601900.0,-1,320.0,0,neg_cossingleton,cossingleton,0,,NEG,476.0,28,,,,,,,,,,,,,,,,,,,,,20165028.36
321,225.8968,508.606,461100.0,-1,321.0,0,neg_singleton,singleton,0,,NEG,477.0,-1,,,,,,,,,,,,,,,,,,,,,15346766.75
322,1201.8634,333.642,1314600.0,-1,322.0,0,neg_adduct,adduct,0,[M-H]-,NEG,479.0,0,,,,,,,,,,,,,,,,,,,,,18840604.79
323,757.5833,331.075,828600.0,-1,323.0,0,neg_cossingleton,cossingleton,0,,NEG,480.0,5,,,,,,,,,,,,,,,,,,,,,4507264.708000001
324,336.8587,512.94,777200.0,-1,324.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,481.0,18,,,,,,,,,,,,,,,,,,,,,37651087.85
325,385.2968,376.568,490800.0,-1,325.0,0,neg_adduct,adduct,0,[M-H]-,NEG,482.0,111,,,,,,,,,,,,,,,,,,,,,20897421.06
326,322.8868,505.687,618200.0,-1,326.0,0,neg_precursor,precursor,0,,NEG,484.0,15,,,,,,,,,,,,,,,,,,,,,5261704.518
327,421.2725,337.381,465100.0,1,327.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,485.0,0,Bourgeanic acid,421.2721,332.175995,[M+Cl]-,C22H42O5,CC[C@@H](C)C[C@@H](C)[C@@H]([C@H](C)C(=O)O[C@@H]([C@H](C)C[C@H](C)CC)[C@H](C)C(=O)O)O,"InChI=1S/C22H42O5/c1-9-13(3)11-15(5)19(23)17(7)22(26)27-20(18(8)21(24)25)16(6)12-14(4)10-2/h13-20,23H,9-12H2,1-8H3,(H,24,25)/t13-,14-,15-,16-,17+,18+,19+,20+/m1/s1",ZQEUMOKDJCSNHB-IHRHECOVSA-N,Acids,Thermo Q-Exactive Focus,1.0,8,0.4,,,,,,,,21134998.76
328,134.8641,508.905,1819700.0,1,328.0,0,neg_singleton,singleton,0,,NEG,487.0,-1,,,,,,,,,,,,,,,,,,,,,8207471.853999999
329,405.1735,298.276,487500.0,-1,329.0,0,neg_cossingleton,cossingleton,0,,NEG,492.0,1,,,,,,,,,,,,,,,,,,,,,9201785.422
330,242.943,505.213,741900.0,-1,330.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,493.0,15,,,,,,,,,,,,,,,,,,,,,4041985.453
331,222.8293,507.514,166700.0,1,331.0,0,neg_cossingleton,cossingleton,0,,NEG,495.0,149,,,,,,,,,,,,,,,,,,,,,2740186.114
332,224.8264,507.609,169000.0,1,332.0,0,neg_cossingleton,cossingleton,0,,NEG,496.0,149,,,,,,,,,,,,,,,,,,,,,2679363.92
334,470.2733,331.395,392300.0,-1,334.0,0,neg_cossingleton,cossingleton,0,,NEG,500.0,150,,,,,,,,,,,,,,,,,,,,,17589511.58
336,448.2906,337.381,360800.0,-1,336.0,0,neg_singleton,singleton,0,,NEG,503.0,-1,,,,,,,,,,,,,,,,,,,,,15556343.66
337,483.2259,337.381,337800.0,1,337.0,0,neg_cossingleton,cossingleton,0,,NEG,504.0,156,,,,,,,,,,,,,,,,,,,,,10706237.23
338,132.9222,505.227,1356700.0,1,338.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,506.0,1,,,,,,,,,,,,,,,,,,,,,2730521.895
339,520.9096,13.749,82000.0,-1,339.0,0,neg_cossingleton,cossingleton,0,,NEG,507.0,74,,,,,,,,,,,,,,,,,,,,,1994157.971
340,125.8718,508.098,146400.0,1,340.0,0,neg_cossingleton,cossingleton,0,,NEG,508.0,123,,,,,,,,,,,,,,,,,,,,,5314445.091
341,180.9724,511.714,632000.0,1,341.0,0,neg_adduct,adduct,0,[M-H]-,NEG,512.0,112,,,,,,,,,,,,,,,,,,,,,17983309.51
342,893.5056,339.201,553300.0,-1,342.0,0,neg_cossingleton,cossingleton,0,,NEG,514.0,1,,,,,,,,,,,,,,,,,,,,,10467648.11
343,228.8533,504.002,300400.0,-1,343.0,0,neg_cossingleton,cossingleton,0,,NEG,515.0,123,,,,,,,,,,,,,,,,,,,,,3629348.767
344,279.0877,186.512,169700.0,-1,344.0,0,neg_singleton,singleton,0,,NEG,516.0,-1,,,,,,,,,,,,,,,,,,,,,6255089.122
345,1213.8213,333.642,1876000.0,-1,345.0,0,neg_singleton,singleton,0,,NEG,517.0,-1,,,,,,,,,,,,,,,,,,,,,10073616.18
346,385.2957,407.183,626500.0,1,346.0,0,neg_adduct,adduct,0,[M-H]-,NEG,521.0,113,,,,,,,,,,,,,,,,,,,,,11098102.81
348,299.9191,505.019,135400.0,-1,348.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,523.0,1,,,,,,,,,,,,,,,,,,,,,2845941.539
349,525.2121,339.201,417700.0,-1,349.0,0,neg_cossingleton,cossingleton,0,,NEG,525.0,28,,,,,,,,,,,,,,,,,,,,,12002766.7
350,588.8972,13.749,73800.0,-1,350.0,0,neg_singleton,singleton,0,,NEG,527.0,-1,,,,,,,,,,,,,,,,,,,,,1313940.976
351,180.9723,13.596,333900.0,1,351.0,0,neg_cossingleton,cossingleton,0,,NEG,528.0,123,,,,,,,,,,,,,,,,,,,,,3284898.395
352,229.9006,504.787,81600.0,1,352.0,0,neg_cossingleton,cossingleton,0,,NEG,529.0,1,,,,,,,,,,,,,,,,,,,,,1217984.775
353,468.2176,334.606,215700.0,1,353.0,0,neg_singleton,singleton,0,,NEG,533.0,-1,,,,,,,,,,,,,,,,,,,,,7009065.432999999
354,516.2027,322.033,275200.0,-1,354.0,0,neg_cossingleton,cossingleton,0,,NEG,534.0,1,,,,,,,,,,,,,,,,,,,,,6726668.963
355,446.2759,309.044,225400.0,-1,355.0,0,neg_cossingleton,cossingleton,0,,NEG,536.0,0,,,,,,,,,,,,,,,,,,,,,6136739.435
356,456.2577,322.033,209500.0,-1,356.0,0,neg_cossingleton,cossingleton,0,,NEG,537.0,150,,,,,,,,,,,,,,,,,,,,,5854681.142000001
357,1195.8491,333.642,1057000.0,1,357.0,0,neg_singleton,singleton,0,,NEG,538.0,-1,,,,,,,,,,,,,,,,,,,,,6659447.454
358,174.9554,326.736,319900.0,1,358.0,0,neg_cossingleton,cossingleton,0,,NEG,539.0,78,,,,,,,,,,,,,,,,,,,,,10781654.86
359,965.1953,450.416,930700.0,-1,359.0,0,neg_cossingleton,cossingleton,0,,NEG,541.0,34,,,,,,,,,,,,,,,,,,,,,6623177.91
360,453.7865,512.466,198400.0,-1,360.0,0,neg_precursor,precursor,0,,NEG,542.0,35,,,,,,,,,,,,,,,,,,,,,10475952.67
361,328.8102,504.826,345100.0,1,361.0,1,neg_adduct,adduct,0,[2M-2H+K]-,NEG,544.0,1,,,,,,,,,,,,,,,,,,,,,3096478.738
362,320.8862,511.09,296000.0,-1,362.0,0,neg_adduct,adduct,0,[M-2H+K]-,NEG,545.0,15,,,,,,,,,,,,,,,,,,,,,10405652.06
363,182.9878,503.862,681000.0,1,363.0,0,neg_cossingleton,cossingleton,0,,NEG,548.0,123,,,,,,,,,,,,,,,,,,,,,5712095.506
364,201.1488,408.983,110100.0,-1,364.0,0,neg_fragment,fragment,0,,NEG,549.0,85,,,,,,,,,,,,,,,,,,,,,6606271.77
365,967.1948,450.28,387500.0,-1,365.0,0,neg_cossingleton,cossingleton,0,,NEG,550.0,34,,,,,,,,,,,,,,,,,,,,,5725533.512999999
366,146.9647,16.35,631200.0,1,366.0,0,neg_cossingleton,cossingleton,0,,NEG,551.0,142,,,,,,,,,,,,,,,,,,,,,3582497.466
367,553.2078,343.909,331300.0,-1,367.0,0,neg_cossingleton,cossingleton,0,,NEG,552.0,1,,,,,,,,,,,,,,,,,,,,,7883531.097
368,199.8503,504.129,135300.0,1,368.0,0,neg_cossingleton,cossingleton,0,,NEG,553.0,1,,,,,,,,,,,,,,,,,,,,,2948919.832
369,144.9226,351.538,2558300.0,-1,369.0,0,neg_fragment,fragment,0,,NEG,555.0,84,,,,,,,,,,,,,,,,,,,,,6242970.214
370,134.8933,332.493,373200.0,-1,370.0,0,neg_cossingleton,cossingleton,0,,NEG,556.0,1,,,,,,,,,,,,,,,,,,,,,8652650.093
372,371.1532,376.424,249600.0,-1,372.0,0,neg_cossingleton,cossingleton,0,,NEG,558.0,1,,,,,,,,,,,,,,,,,,,,,3548689.367
373,328.8303,506.353,541900.0,-1,373.0,1,neg_adduct,adduct,0,[3M+Cl]-,NEG,559.0,1,,,,,,,,,,,,,,,,,,,,,2796013.739
374,483.3073,322.033,146000.0,-1,374.0,0,neg_singleton,singleton,0,,NEG,560.0,-1,,,,,,,,,,,,,,,,,,,,,4601365.303
375,129.935,506.076,252400.0,-1,375.0,0,neg_fragment,fragment,0,,NEG,562.0,1,,,,,,,,,,,,,,,,,,,,,2201861.522
376,411.2362,282.564,124800.0,-1,376.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,565.0,26,,,,,,,,,,,,,,,,,,,,,2949265.1560000004
377,222.8403,504.691,75200.0,-1,377.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,567.0,1,,,,,,,,,,,,,,,,,,,,,1676982.57
