Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,002_2_Hydroxy_4_6_dimethoxyacetophenone
16,789.1443,445.639,574700.0,-1,16.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,40.0,17,,,,,,,,,,,,,,,,,,,,,8013658.153
18,192.9279,505.542,440600.0,1,18.0,0,neg_fragment,fragment,0,,NEG,43.0,1,,,,,,,,,,,,,,,,,,,,,4804602.72
20,299.919,505.198,163600.0,-1,20.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,47.0,1,,,,,,,,,,,,,,,,,,,,,3327480.416
21,206.972,510.907,414000.0,1,21.0,0,neg_cossingleton,cossingleton,0,,NEG,49.0,107,,,,,,,,,,,,,,,,,,,,,14515560.44
22,145.9296,512.903,130800.0,1,22.0,0,neg_fragment,fragment,0,,NEG,50.0,18,,,,,,,,,,,,,,,,,,,,,15296521.4
23,187.9409,505.597,471100.0,-1,23.0,0,neg_fragment,fragment,0,,NEG,51.0,1,,,,,,,,,,,,,,,,,,,,,6995345.406
24,187.9278,510.262,889500.0,-1,24.0,0,neg_cossingleton,cossingleton,0,,NEG,53.0,1,,,,,,,,,,,,,,,,,,,,,15754537.67
27,352.8534,512.792,247500.0,-1,27.0,0,neg_precursor,precursor,0,,NEG,63.0,18,,,,,,,,,,,,,,,,,,,,,10505671.39
28,248.9599,13.921,439100.0,1,28.0,0,neg_cossingleton,cossingleton,0,,NEG,68.0,10,,,,,,,,,,,,,,,,,,,,,2822250.055
30,316.9477,13.891,756400.0,-1,30.0,0,neg_cossingleton,cossingleton,0,,NEG,70.0,74,,,,,,,,,,,,,,,,,,,,,2424957.631
31,143.938,510.509,339100.0,1,31.0,0,neg_fragment,fragment,0,,NEG,71.0,99,,,,,,,,,,,,,,,,,,,,,7943839.655
32,239.9024,533.667,137300.0,-1,32.0,0,neg_adduct,adduct,0,[M-H]-,NEG,73.0,66,,,,,,,,,,,,,,,,,,,,,6889150.687000001
37,394.8904,13.873,208200.0,-1,37.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,81.0,58,,,,,,,,,,,,,,,,,,,,,1676781.345
38,222.8403,504.77,68100.0,-1,38.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,82.0,1,,,,,,,,,,,,,,,,,,,,,996991.6045
39,328.8101,504.823,570700.0,1,39.0,1,neg_adduct,adduct,0,[2M-2H+K]-,NEG,83.0,1,,,,,,,,,,,,,,,,,,,,,1427369.556
40,326.9032,14.074,192200.0,-1,40.0,0,neg_adduct,adduct,0,[M-H]-,NEG,84.0,58,,,,,,,,,,,,,,,,,,,,,1834936.393
41,893.1561,435.599,426500.0,-1,41.0,0,neg_adduct,adduct,0,[M-H]-,NEG,85.0,101,,,,,,,,,,,,,,,,,,,,,5003127.549
46,384.935,13.895,532300.0,-1,46.0,0,neg_adduct,adduct,0,[M-H]-,NEG,92.0,74,,,,,,,,,,,,,,,,,,,,,1198268.816
47,142.9278,505.003,731100.0,1,47.0,0,neg_cossingleton,cossingleton,0,,NEG,93.0,1,,,,,,,,,,,,,,,,,,,,,2045350.203
48,743.1395,484.47,240800.0,-1,48.0,0,neg_cossingleton,cossingleton,0,,NEG,94.0,17,,,,,,,,,,,,,,,,,,,,,3080594.769
49,239.9025,4.147,107300.0,-1,49.0,0,neg_adduct,adduct,0,[M-H]-,NEG,95.0,82,,,,,,,,,,,,,,,,,,,,,4998780.808999999
50,173.9253,208.988,242500.0,1,50.0,0,neg_adduct,adduct,0,[M-2H+K]-,NEG,96.0,81,,,,,,,,,,,,,,,,,,,,,2573674.342
52,265.148,211.644,155800.0,-1,52.0,0,neg_cossingleton,cossingleton,0,,NEG,98.0,123,,,,,,,,,,,,,,,,,,,,,592847.4187
53,160.9171,504.354,328600.0,-1,53.0,0,neg_cossingleton,cossingleton,0,,NEG,99.0,1,,,,,,,,,,,,,,,,,,,,,1662958.175
55,244.8482,504.285,321300.0,-1,55.0,0,neg_cossingleton,cossingleton,0,,NEG,101.0,1,,,,,,,,,,,,,,,,,,,,,1265433.72
56,378.918,13.89,155700.0,-1,56.0,0,neg_cossingleton,cossingleton,0,,NEG,103.0,10,,,,,,,,,,,,,,,,,,,,,1010060.401
58,194.9053,216.179,154100.0,-1,58.0,0,neg_cossingleton,cossingleton,0,,NEG,107.0,108,,,,,,,,,,,,,,,,,,,,,836445.6027
59,184.8629,504.339,467400.0,1,59.0,0,neg_cossingleton,cossingleton,0,,NEG,113.0,28,,,,,,,,,,,,,,,,,,,,,918458.4251
60,151.039,6.59,326100.0,-1,60.0,0,neg_cossingleton,cossingleton,0,,NEG,114.0,123,,,,,,,,,,,,,,,,,,,,,8809923.218
61,186.1125,75.61,78400.0,-1,61.0,0,neg_cossingleton,cossingleton,0,,NEG,116.0,120,,,,,,,,,,,,,,,,,,,,,1020061.268
67,180.9725,3.988,114700.0,1,67.0,0,neg_cossingleton,cossingleton,0,,NEG,123.0,112,,,,,,,,,,,,,,,,,,,,,1768954.397
68,1025.1626,476.545,335300.0,-1,68.0,0,neg_adduct,adduct,0,[M-H]-,NEG,124.0,102,,,,,,,,,,,,,,,,,,,,,1919743.535
69,452.9224,13.904,402500.0,-1,69.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,127.0,74,,,,,,,,,,,,,,,,,,,,,775772.4756
71,162.8379,15.51,53200.0,-1,71.0,0,neg_cossingleton,cossingleton,0,,NEG,133.0,123,,,,,,,,,,,,,,,,,,,,,3781620.177
72,160.8409,15.602,158900.0,-1,72.0,0,neg_singleton,singleton,0,,NEG,134.0,-1,,,,,,,,,,,,,,,,,,,,,3973448.231
77,145.9296,3.741,32100.0,1,77.0,0,neg_cossingleton,cossingleton,0,,NEG,141.0,18,,,,,,,,,,,,,,,,,,,,,2288602.223
78,231.9312,4.323,33300.0,-1,78.0,0,neg_singleton,singleton,0,,NEG,143.0,-1,,,,,,,,,,,,,,,,,,,,,2558765.314
82,817.1593,476.564,160900.0,-1,82.0,0,neg_cossingleton,cossingleton,0,,NEG,147.0,34,,,,,,,,,,,,,,,,,,,,,1498838.98
84,215.868,15.57,171100.0,1,84.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,150.0,68,,,,,,,,,,,,,,,,,,,,,2389478.961
92,336.8594,1.751,107700.0,-1,92.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,158.0,30,,,,,,,,,,,,,,,,,,,,,1063529.572
93,165.04,501.754,75100.0,-1,93.0,0,neg_singleton,singleton,0,,NEG,159.0,-1,,,,,,,,,,,,,,,,,,,,,433977.6685
98,244.961,20.394,236400.0,-1,98.0,0,neg_cossingleton,cossingleton,0,,NEG,168.0,123,,,,,,,,,,,,,,,,,,,,,75530.68234
99,951.2352,460.193,696200.0,-1,99.0,0,neg_cossingleton,cossingleton,0,,NEG,169.0,11,,,,,,,,,,,,,,,,,,,,,1634888.898
100,126.9036,16.918,1006300.0,1,100.0,0,neg_singleton,singleton,0,,NEG,170.0,-1,,,,,,,,,,,,,,,,,,,,,3724586.509
101,224.803,16.551,199800.0,1,101.0,0,neg_cossingleton,cossingleton,0,,NEG,171.0,131,,,,,,,,,,,,,,,,,,,,,3142916.905
104,250.1446,294.442,165800.0,-1,104.0,0,neg_singleton,singleton,0,,NEG,175.0,-1,,,,,,,,,,,,,,,,,,,,,163754.3958
105,226.8007,16.549,129100.0,1,105.0,0,neg_cossingleton,cossingleton,0,,NEG,176.0,131,,,,,,,,,,,,,,,,,,,,,2272926.558
108,435.0822,275.707,216900.0,-1,108.0,0,neg_cossingleton,cossingleton,0,,NEG,180.0,47,,,,,,,,,,,,,,,,,,,,,205747.4597
114,255.2326,375.743,126800.0,-1,114.0,0,neg_singleton,singleton,0,,NEG,186.0,-1,,,,,,,,,,,,,,,,,,,,,48980.02909
125,328.8302,506.425,287000.0,1,125.0,0,neg_adduct,adduct,0,[3M+Cl]-,NEG,200.0,1,,,,,,,,,,,,,,,,,,,,,2798028.935
128,657.139,394.54,302500.0,-1,128.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,203.0,21,,,,,,,,,,,,,,,,,,,,,403880.9162
129,611.1332,394.453,300400.0,-1,129.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,204.0,21,,,,,,,,,,,,,,,,,,,,,411959.5477
133,258.916,532.713,123600.0,-1,133.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,209.0,31,,,,,,,,,,,,,,,,,,,,,1628227.175
134,145.9297,537.309,55300.0,1,134.0,0,neg_cossingleton,cossingleton,0,,NEG,210.0,18,,,,,,,,,,,,,,,,,,,,,2535059.693
136,567.0883,430.724,95600.0,-1,136.0,0,neg_cossingleton,cossingleton,0,,NEG,213.0,21,,,,,,,,,,,,,,,,,,,,,186966.8331
141,228.994,502.082,461400.0,1,141.0,0,neg_cossingleton,cossingleton,0,,NEG,219.0,1,,,,,,,,,,,,,,,,,,,,,2201642.065
162,235.9255,534.496,273500.0,-1,162.0,0,neg_precursor,precursor,0,,NEG,241.0,31,,,,,,,,,,,,,,,,,,,,,17584320.52
168,320.8862,535.199,145300.0,-1,168.0,0,neg_precursor,precursor,0,,NEG,249.0,33,,,,,,,,,,,,,,,,,,,,,3627766.004
186,463.152,377.239,151200.0,-1,186.0,0,neg_precursor,precursor,0,,NEG,270.0,28,,,,,,,,,,,,,,,,,,,,,82114.25251
190,195.0653,160.824,4618000.0,-1,190.0,0,neg_cossingleton,cossingleton,0,,NEG,275.0,105,,,,,,,,,,,,,,,,,,,,,356293538.4
191,181.05,120.719,8517000.0,-1,191.0,0,neg_adduct,adduct,0,[M-H]-,NEG,276.0,105,,,,,,,,,,,,,,,,,,,,,175649959.7
192,197.8072,507.196,10203500.0,1,192.0,0,neg_cossingleton,cossingleton,0,,NEG,277.0,130,,,,,,,,,,,,,,,,,,,,,37306373.35
193,593.1213,448.027,5341000.0,-1,193.0,0,neg_adduct,adduct,0,[M-H]-,NEG,278.0,11,,,,,,,,,,,,,,,,,,,,,107058320.9
194,683.1719,448.027,5113000.0,-1,194.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,281.0,11,,,,,,,,,,,,,,,,,,,,,50878059.17
195,729.1778,446.621,3172000.0,-1,195.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,283.0,11,,,,,,,,,,,,,,,,,,,,,49367798.44
196,743.1392,438.104,2821000.0,-1,196.0,0,neg_adduct,adduct,0,[M-H]-,NEG,284.0,17,,,,,,,,,,,,,,,,,,,,,38993672.74
197,306.9481,175.916,2119000.0,-1,197.0,0,neg_cossingleton,cossingleton,0,,NEG,285.0,131,,,,,,,,,,,,,,,,,,,,,42997107.85
198,207.9309,532.13,1084000.0,-1,198.0,0,neg_cossingleton,cossingleton,0,,NEG,290.0,31,,,,,,,,,,,,,,,,,,,,,69968572.6
199,307.8558,513.661,497900.0,-1,199.0,0,neg_adduct,adduct,0,[M-H]-,NEG,293.0,35,,,,,,,,,,,,,,,,,,,,,44371209.42
200,174.9551,183.442,4612000.0,1,200.0,0,neg_adduct,adduct,0,[M-H]-,NEG,301.0,78,,,,,,,,,,,,,,,,,,,,,12834154.83
201,209.8331,507.258,439400.0,1,201.0,0,neg_cossingleton,cossingleton,0,,NEG,305.0,76,,,,,,,,,,,,,,,,,,,,,4468761.688
202,132.8665,508.99,1513000.0,1,202.0,0,neg_singleton,singleton,0,,NEG,306.0,-1,,,,,,,,,,,,,,,,,,,,,7121887.792
203,833.1891,457.467,1274800.0,-1,203.0,0,neg_adduct,adduct,0,[M-H]-,NEG,307.0,106,,,,,,,,,,,,,,,,,,,,,12630390.7
204,178.9768,511.769,483600.0,1,204.0,0,neg_adduct,adduct,0,[M-H]-,NEG,308.0,107,,,,,,,,,,,,,,,,,,,,,22767191.83
205,235.9255,2.929,163000.0,-1,205.0,0,neg_precursor,precursor,0,,NEG,309.0,30,,,,,,,,,,,,,,,,,,,,,20942040.64
206,205.839,15.565,986300.0,1,206.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,310.0,68,,,,,,,,,,,,,,,,,,,,,5157895.267
207,190.9276,536.336,932600.0,1,207.0,0,neg_adduct,adduct,0,[M-H]-,NEG,311.0,31,,,,,,,,,,,,,,,,,,,,,11977885.96
208,207.8362,15.43,753800.0,1,208.0,0,neg_cossingleton,cossingleton,0,,NEG,312.0,76,,,,,,,,,,,,,,,,,,,,,4863123.465
209,207.9305,2.937,274900.0,-1,209.0,0,neg_cossingleton,cossingleton,0,,NEG,316.0,30,,,,,,,,,,,,,,,,,,,,,16989772.99
210,197.8071,15.279,394400.0,1,210.0,0,neg_cossingleton,cossingleton,0,,NEG,317.0,130,,,,,,,,,,,,,,,,,,,,,3177823.959
211,190.9275,2.905,922500.0,1,211.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,321.0,30,,,,,,,,,,,,,,,,,,,,,14038279.49
212,195.8102,15.279,250800.0,1,212.0,0,neg_cossingleton,cossingleton,0,,NEG,322.0,130,,,,,,,,,,,,,,,,,,,,,2570309.507
213,146.9376,536.601,578300.0,1,213.0,0,neg_fragment,fragment,0,,NEG,324.0,31,,,,,,,,,,,,,,,,,,,,,7669354.795
214,173.9251,506.183,726200.0,1,214.0,0,neg_precursor,precursor,0,,NEG,325.0,1,,,,,,,,,,,,,,,,,,,,,3821683.159
215,316.7378,16.102,253700.0,1,215.0,0,neg_cossingleton,cossingleton,0,,NEG,326.0,131,,,,,,,,,,,,,,,,,,,,,3134658.087
216,167.0342,92.295,553300.0,-1,216.0,0,neg_cossingleton,cossingleton,0,,NEG,330.0,123,"""N 2,4,6-Trihydroxyacetophenone""",167.0344,91.649696,[M-H]-,C8H8O4,CC(=O)c1c(O)cc(O)cc1O,"InChI=1S/C8H8O4/c1-4(9)8-6(11)2-5(10)3-7(8)12/h2-3,10-12H,1H3",XLEYFDVVXLMULC-UHFFFAOYSA-N,Cleavage Products of Depsides and Depsidones,Thermo Q-Exactive Focus,0.72,4,0.2,,,,,,,,6593666.176
217,144.9226,214.578,1427800.0,-1,217.0,0,neg_cossingleton,cossingleton,0,,NEG,331.0,1,,,,,,,,,,,,,,,,,,,,,8971855.843
218,195.0655,187.39,286700.0,-1,218.0,0,neg_adduct,adduct,0,[M-H]-,NEG,335.0,108,,,,,,,,,,,,,,,,,,,,,4678069.552
220,180.0416,160.824,62200.0,-1,220.0,0,neg_singleton,singleton,0,,NEG,337.0,-1,,,,,,,,,,,,,,,,,,,,,3685169.792
221,242.9434,8.009,411700.0,-1,221.0,0,neg_adduct,adduct,0,[M-H]-,NEG,339.0,10,,,,,,,,,,,,,,,,,,,,,2561742.827
222,567.0879,457.698,152800.0,-1,222.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,342.0,22,,,,,,,,,,,,,,,,,,,,,3650966.709
223,307.8561,537.668,106600.0,-1,223.0,0,neg_cossingleton,cossingleton,0,,NEG,343.0,35,,,,,,,,,,,,,,,,,,,,,3422053.066
224,166.0259,132.989,48400.0,-1,224.0,0,neg_cossingleton,cossingleton,0,,NEG,345.0,123,,,,,,,,,,,,,,,,,,,,,2842258.777
225,173.9255,185.062,287900.0,1,225.0,0,neg_cossingleton,cossingleton,0,,NEG,346.0,1,,,,,,,,,,,,,,,,,,,,,3949704.183
227,239.9029,181.556,121700.0,-1,227.0,0,neg_cossingleton,cossingleton,0,,NEG,348.0,66,,,,,,,,,,,,,,,,,,,,,3576951.21
228,391.1394,160.235,253600.0,-1,228.0,0,neg_cossingleton,cossingleton,0,,NEG,349.0,108,,,,,,,,,,,,,,,,,,,,,1806780.402
229,167.034,177.242,14000000.0,-1,229.0,0,neg_cossingleton,cossingleton,0,,NEG,350.0,107,,,,,,,,,,,,,,,,,,,,,2942215.6360000004
230,219.066,151.86,131600.0,-1,230.0,0,neg_cossingleton,cossingleton,0,,NEG,351.0,105,,,,,,,,,,,,,,,,,,,,,2522445.115
231,310.9309,13.632,322600.0,-1,231.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,352.0,10,,,,,,,,,,,,,,,,,,,,,1536135.105
232,178.9766,537.303,130600.0,1,232.0,0,neg_cossingleton,cossingleton,0,,NEG,353.0,107,,,,,,,,,,,,,,,,,,,,,3442325.219
233,375.8433,515.687,98500.0,-1,233.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,354.0,35,,,,,,,,,,,,,,,,,,,,,5882149.146000001
234,255.822,16.022,128000.0,-1,234.0,0,neg_singleton,singleton,0,,NEG,355.0,-1,,,,,,,,,,,,,,,,,,,,,1624697.769
235,385.994,186.654,147400.0,-1,235.0,0,neg_cossingleton,cossingleton,0,,NEG,356.0,18,,,,,,,,,,,,,,,,,,,,,1734774.717
236,318.7378,16.477,161700.0,1,236.0,0,neg_cossingleton,cossingleton,0,,NEG,358.0,131,,,,,,,,,,,,,,,,,,,,,1350124.936
238,180.9726,185.281,232800.0,1,238.0,0,neg_cossingleton,cossingleton,0,,NEG,361.0,107,,,,,,,,,,,,,,,,,,,,,3181593.018
239,315.182,187.521,154200.0,-1,239.0,0,neg_adduct,adduct,0,[4M+Cl]-,NEG,362.0,19,,,,,,,,,,,,,,,,,,,,,1702727.865
240,180.9723,537.303,160000.0,1,240.0,0,neg_cossingleton,cossingleton,0,,NEG,365.0,112,,,,,,,,,,,,,,,,,,,,,2647017.646
241,178.977,185.125,107400.0,1,241.0,0,neg_cossingleton,cossingleton,0,,NEG,366.0,107,,,,,,,,,,,,,,,,,,,,,2713735.587
242,151.039,537.921,173600.0,-1,242.0,0,neg_cossingleton,cossingleton,0,,NEG,367.0,10,,,,,,,,,,,,,,,,,,,,,4053157.727
244,471.2029,352.144,36000.0,-1,244.0,0,neg_singleton,singleton,0,,NEG,370.0,-1,,,,,,,,,,,,,,,,,,,,,788077.2395
245,307.8563,0.973,77300.0,-1,245.0,0,neg_singleton,singleton,0,,NEG,372.0,-1,,,,,,,,,,,,,,,,,,,,,3807970.922
246,967.1958,449.853,421800.0,-1,246.0,0,neg_cossingleton,cossingleton,0,,NEG,373.0,50,,,,,,,,,,,,,,,,,,,,,2195918.89
247,521.0813,448.587,90400.0,-1,247.0,0,neg_adduct,adduct,0,[M-H]-,NEG,374.0,22,,,,,,,,,,,,,,,,,,,,,2305838.872
248,803.1065,478.157,150000.0,-1,248.0,0,neg_cossingleton,cossingleton,0,,NEG,377.0,11,,,,,,,,,,,,,,,,,,,,,1733314.176
249,307.856,5.684,39500.0,-1,249.0,0,neg_cossingleton,cossingleton,0,,NEG,379.0,35,,,,,,,,,,,,,,,,,,,,,2821995.874
250,803.1059,435.721,229600.0,-1,250.0,0,neg_singleton,singleton,0,,NEG,380.0,-1,,,,,,,,,,,,,,,,,,,,,1389634.517
251,320.8868,21.838,94300.0,-1,251.0,0,neg_cossingleton,cossingleton,0,,NEG,381.0,10,,,,,,,,,,,,,,,,,,,,,3620081.526
252,256.9552,187.374,80600.0,-1,252.0,0,neg_cossingleton,cossingleton,0,,NEG,382.0,144,,,,,,,,,,,,,,,,,,,,,2235311.547
254,667.1412,464.678,199900.0,-1,254.0,0,neg_cossingleton,cossingleton,0,,NEG,385.0,34,,,,,,,,,,,,,,,,,,,,,1495917.502
255,352.8541,536.474,60300.0,-1,255.0,0,neg_cossingleton,cossingleton,0,,NEG,386.0,18,,,,,,,,,,,,,,,,,,,,,1755529.629
256,307.8568,21.477,88600.0,-1,256.0,0,neg_singleton,singleton,0,,NEG,387.0,-1,,,,,,,,,,,,,,,,,,,,,3830372.112
258,234.8194,504.005,119900.0,-1,258.0,0,neg_cossingleton,cossingleton,0,,NEG,392.0,130,,,,,,,,,,,,,,,,,,,,,1302479.408
259,206.9725,538.422,96400.0,1,259.0,0,neg_cossingleton,cossingleton,0,,NEG,393.0,107,,,,,,,,,,,,,,,,,,,,,2007441.78
260,1026.1631,445.485,244200.0,-1,260.0,0,neg_cossingleton,cossingleton,0,,NEG,394.0,102,,,,,,,,,,,,,,,,,,,,,1909281.859
261,336.8586,537.782,74000.0,-1,261.0,0,neg_cossingleton,cossingleton,0,,NEG,396.0,58,,,,,,,,,,,,,,,,,,,,,1108262.627
262,180.9725,218.704,111400.0,-1,262.0,0,neg_cossingleton,cossingleton,0,,NEG,397.0,107,,,,,,,,,,,,,,,,,,,,,1641728.775
263,239.903,211.414,91000.0,-1,263.0,0,neg_cossingleton,cossingleton,0,,NEG,398.0,82,,,,,,,,,,,,,,,,,,,,,1303376.519
264,242.9431,537.098,127500.0,1,264.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,400.0,33,,,,,,,,,,,,,,,,,,,,,1963261.994
265,182.988,219.978,187900.0,1,265.0,0,neg_cossingleton,cossingleton,0,,NEG,401.0,123,,,,,,,,,,,,,,,,,,,,,1286719.945
266,636.1283,448.217,54000.0,-1,266.0,0,neg_singleton,singleton,0,,NEG,402.0,-1,,,,,,,,,,,,,,,,,,,,,937084.8742
267,285.9086,7.032,161400.0,-1,267.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,403.0,82,,,,,,,,,,,,,,,,,,,,,2313686.103
269,951.2347,472.071,315100.0,-1,269.0,0,neg_cossingleton,cossingleton,0,,NEG,405.0,109,,,,,,,,,,,,,,,,,,,,,843504.2266
270,304.9141,9.048,184300.0,-1,270.0,0,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,408.0,10,,,,,,,,,,,,,,,,,,,,,1561244.6730000002
271,239.0591,182.976,135400.0,-1,271.0,0,neg_adduct,adduct,0,[M-H]-,NEG,409.0,109,,,,,,,,,,,,,,,,,,,,,714304.4728
272,817.1628,463.29,159800.0,-1,272.0,0,neg_singleton,singleton,0,,NEG,410.0,-1,,,,,,,,,,,,,,,,,,,,,631020.2072
273,521.0825,394.259,80100.0,-1,273.0,0,neg_fragment,fragment,0,,NEG,411.0,21,,,,,,,,,,,,,,,,,,,,,443554.3266
274,875.1459,448.658,124600.0,-1,274.0,0,neg_singleton,singleton,0,,NEG,412.0,-1,,,,,,,,,,,,,,,,,,,,,844503.4945
275,321.0772,267.024,7618000.0,-1,275.0,0,neg_cossingleton,cossingleton,0,,NEG,413.0,123,Vulpinic acid,321.0763,276.868011,[M-H]-,C19H14O5,O=C1C(=C(O)/C(=C(/c2ccccc2)\C(=O)OC)/O1)c1ccccc1,"InChI=1S/C19H14O5/c1-23-18(21)15(13-10-6-3-7-11-13)17-16(20)14(19(22)24-17)12-8-4-2-5-9-12/h2-11,20H,1H3/b17-15+",OMZRMXULWNMRAE-BMRADRMJSA-N,Pulvinic Acid Derivatives,Thermo Q-Exactive Focus,0.81,9,0.9,,,,,,,,593499.3236
276,595.0998,464.475,102000.0,-1,276.0,0,neg_singleton,singleton,0,,NEG,414.0,-1,,,,,,,,,,,,,,,,,,,,,521255.5299
277,158.9774,12.944,176900.0,-1,277.0,0,neg_cossingleton,cossingleton,0,,NEG,415.0,33,,,,,,,,,,,,,,,,,,,,,297566.2317
278,228.9917,164.044,118100.0,-1,278.0,0,neg_cossingleton,cossingleton,0,,NEG,416.0,123,,,,,,,,,,,,,,,,,,,,,529156.2778
279,343.0827,349.231,146900.0,-1,279.0,0,neg_cossingleton,cossingleton,0,,NEG,417.0,135,,,,,,,,,,,,,,,,,,,,,190427.5728
281,230.9558,12.745,151900.0,-1,281.0,0,neg_cossingleton,cossingleton,0,,NEG,419.0,144,,,,,,,,,,,,,,,,,,,,,773903.1905
282,191.0349,184.427,346200.0,-1,282.0,0,neg_singleton,singleton,0,,NEG,420.0,-1,,,,,,,,,,,,,,,,,,,,,626570.0171
283,239.0593,276.258,108900.0,-1,283.0,0,neg_cossingleton,cossingleton,0,,NEG,421.0,109,,,,,,,,,,,,,,,,,,,,,157618.2724
284,326.0833,189.524,200200.0,1,284.0,0,neg_cossingleton,cossingleton,0,,NEG,422.0,1,,,,,,,,,,,,,,,,,,,,,115429.2248
286,717.108,408.494,365300.0,-1,286.0,0,neg_cossingleton,cossingleton,0,,NEG,425.0,17,,,,,,,,,,,,,,,,,,,,,107447.1371
287,193.086,181.691,141300.0,1,287.0,0,neg_cossingleton,cossingleton,0,,NEG,426.0,10,,,,,,,,,,,,,,,,,,,,,89168.07669
288,179.0343,4.511,130500.0,-1,288.0,0,neg_cossingleton,cossingleton,0,,NEG,427.0,123,,,,,,,,,,,,,,,,,,,,,190939.1786
290,137.0229,132.96,100600.0,-1,290.0,0,neg_cossingleton,cossingleton,0,,NEG,429.0,10,,,,,,,,,,,,,,,,,,,,,61494.15594
291,387.0729,194.738,104900.0,-1,291.0,0,neg_singleton,singleton,0,,NEG,430.0,-1,,,,,,,,,,,,,,,,,,,,,51497.48971
292,310.9315,189.536,202600.0,-1,292.0,0,neg_cossingleton,cossingleton,0,,NEG,431.0,15,,,,,,,,,,,,,,,,,,,,,64464.87709
293,389.1244,239.981,270900.0,-1,293.0,0,neg_singleton,singleton,0,,NEG,432.0,-1,,,,,,,,,,,,,,,,,,,,,31405.69132
