Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,008_12_Desoxypyxinol
173,134.8936,355.787,270000.0,-1,173.0,0,neg_cossingleton,cossingleton,0,,NEG,254.0,1,,,,,,,,,,,,,,,,,,,,,3469731.827
174,132.9226,358.333,575000.0,1,174.0,0,neg_cossingleton,cossingleton,0,,NEG,255.0,1,,,,,,,,,,,,,,,,,,,,,2544607.344
175,178.9767,4.799,114600.0,1,175.0,0,neg_cossingleton,cossingleton,0,,NEG,256.0,107,,,,,,,,,,,,,,,,,,,,,2675759.97
176,281.2491,380.901,934000.0,-1,176.0,0,neg_singleton,singleton,0,,NEG,257.0,-1,,,,,,,,,,,,,,,,,,,,,1035626.619
177,325.1858,368.685,297700.0,-1,177.0,0,neg_cossingleton,cossingleton,0,,NEG,258.0,148,,,,,,,,,,,,,,,,,,,,,1674488.493
179,875.1469,449.373,165500.0,-1,179.0,0,neg_singleton,singleton,0,,NEG,260.0,-1,,,,,,,,,,,,,,,,,,,,,826243.3869
180,173.0811,298.337,97700.0,1,180.0,0,neg_cossingleton,cossingleton,0,,NEG,263.0,120,,,,,,,,,,,,,,,,,,,,,719662.4191
181,457.3177,366.768,120600.0,-1,181.0,0,neg_cossingleton,cossingleton,0,,NEG,264.0,19,,,,,,,,,,,,,,,,,,,,,470951.4049
182,365.2332,381.512,43700.0,1,182.0,0,neg_cossingleton,cossingleton,0,,NEG,265.0,12,,,,,,,,,,,,,,,,,,,,,478975.6027
183,243.1597,281.108,197700.0,1,183.0,0,neg_cossingleton,cossingleton,0,,NEG,267.0,104,,,,,,,,,,,,,,,,,,,,,402204.8313
184,467.174,380.402,147400.0,-1,184.0,0,neg_cossingleton,cossingleton,0,,NEG,268.0,1,,,,,,,,,,,,,,,,,,,,,124985.4982
186,463.152,377.239,151200.0,-1,186.0,0,neg_precursor,precursor,0,,NEG,270.0,28,,,,,,,,,,,,,,,,,,,,,139880.7246
187,179.0345,535.764,194200.0,1,187.0,0,neg_cossingleton,cossingleton,0,,NEG,271.0,107,,,,,,,,,,,,,,,,,,,,,260738.43
189,275.1689,280.029,134300.0,-1,189.0,0,neg_singleton,singleton,0,,NEG,274.0,-1,,,,,,,,,,,,,,,,,,,,,70669.4613
192,197.8072,507.196,10203500.0,1,192.0,0,neg_cossingleton,cossingleton,0,,NEG,277.0,130,,,,,,,,,,,,,,,,,,,,,36290939.49
193,593.1213,448.027,5341000.0,-1,193.0,0,neg_adduct,adduct,0,[M-H]-,NEG,278.0,11,,,,,,,,,,,,,,,,,,,,,142002975.5
194,683.1719,448.027,5113000.0,-1,194.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,281.0,11,,,,,,,,,,,,,,,,,,,,,70086845.76
195,729.1778,446.621,3172000.0,-1,195.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,283.0,11,,,,,,,,,,,,,,,,,,,,,54564811.92
196,743.1392,438.104,2821000.0,-1,196.0,0,neg_adduct,adduct,0,[M-H]-,NEG,284.0,17,,,,,,,,,,,,,,,,,,,,,28956869.25
199,307.8558,513.661,497900.0,-1,199.0,0,neg_adduct,adduct,0,[M-H]-,NEG,293.0,35,,,,,,,,,,,,,,,,,,,,,52906926.85
201,209.8331,507.258,439400.0,1,201.0,0,neg_cossingleton,cossingleton,0,,NEG,305.0,76,,,,,,,,,,,,,,,,,,,,,4815356.818
202,132.8665,508.99,1513000.0,1,202.0,0,neg_singleton,singleton,0,,NEG,306.0,-1,,,,,,,,,,,,,,,,,,,,,8058481.135
203,833.1891,457.467,1274800.0,-1,203.0,0,neg_adduct,adduct,0,[M-H]-,NEG,307.0,106,,,,,,,,,,,,,,,,,,,,,13099057.25
204,178.9768,511.769,483600.0,1,204.0,0,neg_adduct,adduct,0,[M-H]-,NEG,308.0,107,,,,,,,,,,,,,,,,,,,,,29199587.04
205,235.9255,2.929,163000.0,-1,205.0,0,neg_precursor,precursor,0,,NEG,309.0,30,,,,,,,,,,,,,,,,,,,,,16306796.72
209,207.9305,2.937,274900.0,-1,209.0,0,neg_cossingleton,cossingleton,0,,NEG,316.0,30,,,,,,,,,,,,,,,,,,,,,13302580.47
239,315.182,187.521,154200.0,-1,239.0,0,neg_adduct,adduct,0,[4M+Cl]-,NEG,362.0,19,,,,,,,,,,,,,,,,,,,,,1038530.775
242,151.039,537.921,173600.0,-1,242.0,0,neg_cossingleton,cossingleton,0,,NEG,367.0,10,,,,,,,,,,,,,,,,,,,,,938434.5522
243,445.0847,400.745,141500.0,-1,243.0,0,neg_fragment,fragment,0,,NEG,368.0,70,,,,,,,,,,,,,,,,,,,,,1994734.974
254,667.1412,464.678,199900.0,-1,254.0,0,neg_cossingleton,cossingleton,0,,NEG,385.0,34,,,,,,,,,,,,,,,,,,,,,1662684.86
271,239.0591,182.976,135400.0,-1,271.0,0,neg_adduct,adduct,0,[M-H]-,NEG,409.0,109,,,,,,,,,,,,,,,,,,,,,632697.8428
302,174.9549,505.719,3497000.0,1,302.0,0,neg_adduct,adduct,0,[M-H]-,NEG,444.0,15,,,,,,,,,,,,,,,,,,,,,60157455.93
303,144.9222,504.796,14486000.0,-1,303.0,0,neg_adduct,adduct,0,[M-H]-,NEG,446.0,1,,,,,,,,,,,,,,,,,,,,,30794555.51
306,355.1582,375.196,3258000.0,-1,306.0,0,neg_adduct,adduct,0,[M-H]-,NEG,451.0,28,,,,,,,,,,,,,,,,,,,,,8173966.466
307,312.8363,504.764,1214100.0,-1,307.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,453.0,1,,,,,,,,,,,,,,,,,,,,,11086439.62
308,207.836,507.54,2231000.0,1,308.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,454.0,76,,,,,,,,,,,,,,,,,,,,,14738786.97
311,200.8582,504.247,847400.0,-1,311.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,461.0,1,,,,,,,,,,,,,,,,,,,,,12689417.27
312,215.868,508.502,1261300.0,-1,312.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,462.0,62,,,,,,,,,,,,,,,,,,,,,11370965.33
315,146.9374,513.842,1408800.0,1,315.0,0,neg_fragment,fragment,0,,NEG,467.0,18,,,,,,,,,,,,,,,,,,,,,54302566.03
318,743.1394,457.448,3598000.0,-1,318.0,0,neg_adduct,adduct,0,[M-H]-,NEG,472.0,50,,,,,,,,,,,,,,,,,,,,,85043217.31
321,225.8968,508.606,461100.0,-1,321.0,0,neg_singleton,singleton,0,,NEG,477.0,-1,,,,,,,,,,,,,,,,,,,,,16433343.3
324,336.8587,512.94,777200.0,-1,324.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,481.0,18,,,,,,,,,,,,,,,,,,,,,35163601.37
326,322.8868,505.687,618200.0,-1,326.0,0,neg_precursor,precursor,0,,NEG,484.0,15,,,,,,,,,,,,,,,,,,,,,5026708.752
328,134.8641,508.905,1819700.0,1,328.0,0,neg_singleton,singleton,0,,NEG,487.0,-1,,,,,,,,,,,,,,,,,,,,,8114565.425
330,242.943,505.213,741900.0,-1,330.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,493.0,15,,,,,,,,,,,,,,,,,,,,,4313127.632
338,132.9222,505.227,1356700.0,1,338.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,506.0,1,,,,,,,,,,,,,,,,,,,,,2195321.549
340,125.8718,508.098,146400.0,1,340.0,0,neg_cossingleton,cossingleton,0,,NEG,508.0,123,,,,,,,,,,,,,,,,,,,,,5157610.451
341,180.9724,511.714,632000.0,1,341.0,0,neg_adduct,adduct,0,[M-H]-,NEG,512.0,112,,,,,,,,,,,,,,,,,,,,,18788723.18
359,965.1953,450.416,930700.0,-1,359.0,0,neg_cossingleton,cossingleton,0,,NEG,541.0,34,,,,,,,,,,,,,,,,,,,,,3353128.848
362,320.8862,511.09,296000.0,-1,362.0,0,neg_adduct,adduct,0,[M-2H+K]-,NEG,545.0,15,,,,,,,,,,,,,,,,,,,,,11680119.18
366,146.9647,16.35,631200.0,1,366.0,0,neg_cossingleton,cossingleton,0,,NEG,551.0,142,,,,,,,,,,,,,,,,,,,,,2042102.026
368,199.8503,504.129,135300.0,1,368.0,0,neg_cossingleton,cossingleton,0,,NEG,553.0,1,,,,,,,,,,,,,,,,,,,,,2900943.7660000003
378,309.1742,299.301,162400.0,1,378.0,0,neg_cossingleton,cossingleton,0,,NEG,569.0,123,,,,,,,,,,,,,,,,,,,,,608542.8587
384,198.8636,504.376,113100.0,1,384.0,0,neg_cossingleton,cossingleton,0,,NEG,581.0,1,,,,,,,,,,,,,,,,,,,,,1306218.937
391,1025.1655,442.79,582700.0,-1,391.0,0,neg_cossingleton,cossingleton,0,,NEG,592.0,102,,,,,,,,,,,,,,,,,,,,,992326.1881
394,184.9289,500.62,264700.0,1,394.0,0,neg_cossingleton,cossingleton,0,,NEG,595.0,28,,,,,,,,,,,,,,,,,,,,,2925644.555
396,353.1637,375.123,215700.0,1,396.0,0,neg_cossingleton,cossingleton,0,,NEG,601.0,28,,,,,,,,,,,,,,,,,,,,,404631.2617
403,965.1958,499.605,896300.0,-1,403.0,0,neg_adduct,adduct,0,[M-H]-,NEG,610.0,34,,,,,,,,,,,,,,,,,,,,,5145364.078
404,285.9086,533.228,181400.0,-1,404.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,611.0,66,,,,,,,,,,,,,,,,,,,,,3620918.381
409,218.809,15.875,117500.0,-1,409.0,0,neg_singleton,singleton,0,,NEG,624.0,-1,,,,,,,,,,,,,,,,,,,,,409613.5553
414,200.9241,502.586,459600.0,1,414.0,0,neg_cossingleton,cossingleton,0,,NEG,629.0,1,,,,,,,,,,,,,,,,,,,,,1999533.657
416,216.8087,15.785,72400.0,1,416.0,0,neg_singleton,singleton,0,,NEG,635.0,-1,,,,,,,,,,,,,,,,,,,,,358291.3942
418,129.9745,15.781,789100.0,1,418.0,0,neg_singleton,singleton,0,,NEG,639.0,-1,,,,,,,,,,,,,,,,,,,,,347787.6588
429,164.9261,15.182,130800.0,1,429.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,653.0,10,,,,,,,,,,,,,,,,,,,,,628951.9148
434,1011.2023,498.629,550300.0,-1,434.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,661.0,34,,,,,,,,,,,,,,,,,,,,,2116533.715
460,365.2332,289.338,70130000.0,-1,460.0,0,neg_adduct,adduct,0,[M-H]-,NEG,689.0,12,,,,,,,,,,,,,,,,,,,,,773322.103
501,187.0967,105.018,318700.0,-1,501.0,0,neg_adduct,adduct,0,[M-H]-,NEG,743.0,120,,,,,,,,,,,,,,,,,,,,,7034971.867000001
507,243.1598,189.894,244300.0,1,507.0,0,neg_cossingleton,cossingleton,0,,NEG,750.0,104,,,,,,,,,,,,,,,,,,,,,4150862.488
515,146.9376,2.266,542600.0,1,515.0,0,neg_fragment,fragment,0,,NEG,763.0,30,,,,,,,,,,,,,,,,,,,,,5871503.572000001
524,173.0811,82.796,104300.0,1,524.0,0,neg_cossingleton,cossingleton,0,,NEG,774.0,120,,,,,,,,,,,,,,,,,,,,,2756660.005
538,671.0999,432.45,270500.0,-1,538.0,0,neg_singleton,singleton,0,,NEG,792.0,-1,,,,,,,,,,,,,,,,,,,,,1480121.532
539,215.1283,149.22,87400.0,-1,539.0,0,neg_cossingleton,cossingleton,0,,NEG,793.0,120,,,,,,,,,,,,,,,,,,,,,915431.0087
563,184.9857,505.046,19007000.0,1,1.0,0,pos_adduct,adduct,0,[M+H]+,POS,3.0,9,,,,,,,,,,,,,,,,,,,,,44988623.12
564,776.234,439.832,17316000.0,1,2.0,0,pos_adduct,adduct,0,[M+H+CH3OH]+,POS,7.0,73,,,,,,,,,,,,,,,,,,,,,14860199.19
565,327.0085,209.923,5175000.0,1,3.0,0,pos_cossingleton,cossingleton,0,,POS,12.0,124,,,,,,,,,,,,,,,,,,,,,54408326.21
566,852.2316,457.666,15601000.0,1,4.0,0,pos_adduct,adduct,0,[M+NH4]+,POS,13.0,106,,,,,,,,,,,,,,,,,,,,,22311805.61
567,144.9823,509.816,8781800.0,1,5.0,0,pos_fragment,fragment,0,,POS,18.0,98,,,,,,,,,,,,,,,,,,,,,6133022.921
568,181.0148,505.421,1141900.0,1,6.0,1,pos_adduct,adduct,0,[M+H+CH3CN]+,POS,23.0,9,,,,,,,,,,,,,,,,,,,,,5951090.352000001
570,287.8888,513.32,2380600.0,1,8.0,0,pos_adduct,adduct,0,[M+H]+,POS,28.0,77,,,,,,,,,,,,,,,,,,,,,46650369.41
571,332.9167,505.59,963400.0,1,9.0,0,pos_cossingleton,cossingleton,0,,POS,32.0,56,,,,,,,,,,,,,,,,,,,,,4377405.977
573,247.1669,504.994,1412200.0,1,11.0,2,pos_adduct,adduct,0,[2M+H]+,POS,36.0,80,,,,,,,,,,,,,,,,,,,,,3254065.92
574,145.1338,504.915,2810800.0,1,12.0,0,pos_cossingleton,cossingleton,0,,POS,37.0,165,,,,,,,,,,,,,,,,,,,,,4149593.808
575,762.1805,437.891,773800.0,1,13.0,0,pos_adduct,adduct,0,[M+NH4]+,POS,38.0,17,,,,,,,,,,,,,,,,,,,,,1500805.2769999998
576,656.2266,399.685,171300.0,1,14.0,0,pos_singleton,singleton,0,,POS,39.0,-1,,,,,,,,,,,,,,,,,,,,,4385458.569
577,331.0023,209.539,1477600.0,1,15.0,0,pos_cossingleton,cossingleton,0,,POS,41.0,124,,,,,,,,,,,,,,,,,,,,,16604934.17
578,146.9804,509.652,3492300.0,1,16.0,0,pos_cossingleton,cossingleton,0,,POS,43.0,9,,,,,,,,,,,,,,,,,,,,,2855697.864
579,143.9592,505.548,2567700.0,1,17.0,0,pos_fragment,fragment,0,,POS,46.0,9,,,,,,,,,,,,,,,,,,,,,5223556.368
