Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,007_12_Desoxydiacetylpyxinol
16,789.1443,445.639,574700.0,-1,16.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,40.0,17,,,,,,,,,,,,,,,,,,,,,10098912.25
18,192.9279,505.542,440600.0,1,18.0,0,neg_fragment,fragment,0,,NEG,43.0,1,,,,,,,,,,,,,,,,,,,,,4594236.654
20,299.919,505.198,163600.0,-1,20.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,47.0,1,,,,,,,,,,,,,,,,,,,,,3435357.2860000003
21,206.972,510.907,414000.0,1,21.0,0,neg_cossingleton,cossingleton,0,,NEG,49.0,107,,,,,,,,,,,,,,,,,,,,,16256157.33
22,145.9296,512.903,130800.0,1,22.0,0,neg_fragment,fragment,0,,NEG,50.0,18,,,,,,,,,,,,,,,,,,,,,17994698.71
23,187.9409,505.597,471100.0,-1,23.0,0,neg_fragment,fragment,0,,NEG,51.0,1,,,,,,,,,,,,,,,,,,,,,7749184.647999999
24,187.9278,510.262,889500.0,-1,24.0,0,neg_cossingleton,cossingleton,0,,NEG,53.0,1,,,,,,,,,,,,,,,,,,,,,17042775.67
27,352.8534,512.792,247500.0,-1,27.0,0,neg_precursor,precursor,0,,NEG,63.0,18,,,,,,,,,,,,,,,,,,,,,10906005.22
29,239.9024,515.825,172000.0,1,29.0,0,neg_adduct,adduct,0,[M-H]-,NEG,69.0,51,,,,,,,,,,,,,,,,,,,,,10439483.29
30,316.9477,13.891,756400.0,-1,30.0,0,neg_cossingleton,cossingleton,0,,NEG,70.0,74,,,,,,,,,,,,,,,,,,,,,1853637.789
31,143.938,510.509,339100.0,1,31.0,0,neg_fragment,fragment,0,,NEG,71.0,99,,,,,,,,,,,,,,,,,,,,,9632756.416
32,239.9024,533.667,137300.0,-1,32.0,0,neg_adduct,adduct,0,[M-H]-,NEG,73.0,66,,,,,,,,,,,,,,,,,,,,,6795429.362000001
35,184.9289,452.287,649000.0,-1,35.0,0,neg_cossingleton,cossingleton,0,,NEG,78.0,1,,,,,,,,,,,,,,,,,,,,,11358729.1
36,567.0881,457.874,155800.0,-1,36.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,80.0,22,,,,,,,,,,,,,,,,,,,,,2241865.082
37,394.8904,13.873,208200.0,-1,37.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,81.0,58,,,,,,,,,,,,,,,,,,,,,1062671.148
38,222.8403,504.77,68100.0,-1,38.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,82.0,1,,,,,,,,,,,,,,,,,,,,,1402110.0669999998
39,328.8101,504.823,570700.0,1,39.0,1,neg_adduct,adduct,0,[2M-2H+K]-,NEG,83.0,1,,,,,,,,,,,,,,,,,,,,,3060784.691
40,326.9032,14.074,192200.0,-1,40.0,0,neg_adduct,adduct,0,[M-H]-,NEG,84.0,58,,,,,,,,,,,,,,,,,,,,,1480962.231
41,893.1561,435.599,426500.0,-1,41.0,0,neg_adduct,adduct,0,[M-H]-,NEG,85.0,101,,,,,,,,,,,,,,,,,,,,,5443064.34
46,384.935,13.895,532300.0,-1,46.0,0,neg_adduct,adduct,0,[M-H]-,NEG,92.0,74,,,,,,,,,,,,,,,,,,,,,928728.9239
47,142.9278,505.003,731100.0,1,47.0,0,neg_cossingleton,cossingleton,0,,NEG,93.0,1,,,,,,,,,,,,,,,,,,,,,2429605.71
48,743.1395,484.47,240800.0,-1,48.0,0,neg_cossingleton,cossingleton,0,,NEG,94.0,17,,,,,,,,,,,,,,,,,,,,,1604778.049
53,160.9171,504.354,328600.0,-1,53.0,0,neg_cossingleton,cossingleton,0,,NEG,99.0,1,,,,,,,,,,,,,,,,,,,,,1800146.885
55,244.8482,504.285,321300.0,-1,55.0,0,neg_cossingleton,cossingleton,0,,NEG,101.0,1,,,,,,,,,,,,,,,,,,,,,1466177.2219999998
59,184.8629,504.339,467400.0,1,59.0,0,neg_cossingleton,cossingleton,0,,NEG,113.0,28,,,,,,,,,,,,,,,,,,,,,951024.9136
61,186.1125,75.61,78400.0,-1,61.0,0,neg_cossingleton,cossingleton,0,,NEG,116.0,120,,,,,,,,,,,,,,,,,,,,,1502257.0269999998
62,521.0812,448.137,108900.0,-1,62.0,0,neg_adduct,adduct,0,[M-H]-,NEG,117.0,22,,,,,,,,,,,,,,,,,,,,,1897308.976
66,132.8665,15.528,246300.0,1,66.0,0,neg_singleton,singleton,0,,NEG,122.0,-1,,,,,,,,,,,,,,,,,,,,,1404790.115
74,815.1791,457.848,167500.0,-1,74.0,0,neg_adduct,adduct,0,[M-H]-,NEG,136.0,103,,,,,,,,,,,,,,,,,,,,,862284.6665
76,544.0387,369.853,74000.0,-1,76.0,0,neg_singleton,singleton,0,,NEG,139.0,-1,,,,,,,,,,,,,,,,,,,,,593912.3648
77,145.9296,3.741,32100.0,1,77.0,0,neg_cossingleton,cossingleton,0,,NEG,141.0,18,,,,,,,,,,,,,,,,,,,,,1688911.273
82,817.1593,476.564,160900.0,-1,82.0,0,neg_cossingleton,cossingleton,0,,NEG,147.0,34,,,,,,,,,,,,,,,,,,,,,653097.4918
83,239.0589,440.199,80200.0,-1,83.0,0,neg_cossingleton,cossingleton,0,,NEG,148.0,109,,,,,,,,,,,,,,,,,,,,,3271931.1980000003
85,191.9453,16.481,170800.0,1,85.0,0,neg_cossingleton,cossingleton,0,,NEG,151.0,142,,,,,,,,,,,,,,,,,,,,,571604.8044
88,803.1961,439.993,240200.0,-1,88.0,0,neg_cossingleton,cossingleton,0,,NEG,154.0,109,,,,,,,,,,,,,,,,,,,,,1575030.759
90,671.1,420.672,229800.0,-1,90.0,0,neg_singleton,singleton,0,,NEG,156.0,-1,,,,,,,,,,,,,,,,,,,,,1654067.3469999998
91,697.1454,392.945,180400.0,-1,91.0,0,neg_singleton,singleton,0,,NEG,157.0,-1,,,,,,,,,,,,,,,,,,,,,505002.2533
94,535.1351,400.717,165600.0,-1,94.0,0,neg_cossingleton,cossingleton,0,,NEG,161.0,47,,,,,,,,,,,,,,,,,,,,,788295.1773
96,381.174,381.466,160200.0,-1,96.0,0,neg_cossingleton,cossingleton,0,,NEG,164.0,28,,,,,,,,,,,,,,,,,,,,,512175.0770000001
100,126.9036,16.918,1006300.0,1,100.0,0,neg_singleton,singleton,0,,NEG,170.0,-1,,,,,,,,,,,,,,,,,,,,,274774.6481
101,224.803,16.551,199800.0,1,101.0,0,neg_cossingleton,cossingleton,0,,NEG,171.0,131,,,,,,,,,,,,,,,,,,,,,198335.5294
104,250.1446,294.442,165800.0,-1,104.0,0,neg_singleton,singleton,0,,NEG,175.0,-1,,,,,,,,,,,,,,,,,,,,,132274.5558
105,226.8007,16.549,129100.0,1,105.0,0,neg_cossingleton,cossingleton,0,,NEG,176.0,131,,,,,,,,,,,,,,,,,,,,,133752.1309
108,435.0822,275.707,216900.0,-1,108.0,0,neg_cossingleton,cossingleton,0,,NEG,180.0,47,,,,,,,,,,,,,,,,,,,,,84350.35621
110,285.2073,246.432,104200.0,-1,110.0,0,neg_adduct,adduct,0,[M-H]-,NEG,182.0,104,,,,,,,,,,,,,,,,,,,,,128865.8501
112,441.1922,259.525,3111000.0,-1,112.0,0,neg_cossingleton,cossingleton,0,,NEG,184.0,7,Picrolichenic acid,441.1913,254.595001,[M-H]-,C25H30O7,CCCCCC1=CC(=O)C=C(OC)C21C(=O)Oc1c2c(c(c(c1)O)C(=O)O)CCCCC,"InChI=1S/C25H30O7/c1-4-6-8-10-15-12-16(26)13-20(31-3)25(15)22-17(11-9-7-5-2)21(23(28)29)18(27)14-19(22)32-24(25)30/h12-14,27H,4-11H2,1-3H3,(H,28,29)",LOGCRVAWKCZXQM-UHFFFAOYSA-N,Depsones,Thermo Q-Exactive Focus,0.91,9,0.9,,,,,,,,98152.4325
117,367.2487,276.806,97200000.0,-1,117.0,0,neg_adduct,adduct,0,[M-H]-,NEG,189.0,7,Dihydromuronic acid,367.2484,275.695007,[M-H]-,C21H36O5,CC(=O)CCCCCCCCCCCCC[C@@H]1C(C(C)C(=O)O1)C(=O)O,"InChI=1S/C21H36O5/c1-16(22)14-12-10-8-6-4-3-5-7-9-11-13-15-18-19(20(23)24)17(2)21(25)26-18/h17-19H,3-15H2,1-2H3,(H,23,24)/t17?,18-,19?/m1/s1",SPGPUDJMXMJNCU-JLAWEPINSA-N,Paraconic acids,Thermo Q-Exactive Focus,0.95,4,0.3,,,,,,,,29057188.35
118,192.9976,435.907,644300.0,-1,118.0,0,neg_singleton,singleton,0,,NEG,190.0,-1,,,,,,,,,,,,,,,,,,,,,16214685.14
119,297.7332,507.512,60900.0,-1,119.0,0,neg_singleton,singleton,0,,NEG,191.0,-1,,,,,,,,,,,,,,,,,,,,,1898293.996
120,312.8363,444.291,417000.0,-1,120.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,192.0,46,,,,,,,,,,,,,,,,,,,,,15196870.42
121,252.9169,442.868,274500.0,-1,121.0,0,neg_cossingleton,cossingleton,0,,NEG,194.0,1,,,,,,,,,,,,,,,,,,,,,8886888.733
123,134.8933,444.647,458700.0,-1,123.0,0,neg_cossingleton,cossingleton,0,,NEG,197.0,1,,,,,,,,,,,,,,,,,,,,,9418970.136
125,328.8302,506.425,287000.0,1,125.0,0,neg_adduct,adduct,0,[3M+Cl]-,NEG,200.0,1,,,,,,,,,,,,,,,,,,,,,2360795.669
126,248.96,437.449,63700.0,1,126.0,0,neg_singleton,singleton,0,,NEG,201.0,-1,,,,,,,,,,,,,,,,,,,,,4112686.106
127,169.981,440.641,208900.0,1,127.0,0,neg_cossingleton,cossingleton,0,,NEG,202.0,126,,,,,,,,,,,,,,,,,,,,,3629955.45
128,657.139,394.54,302500.0,-1,128.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,203.0,21,,,,,,,,,,,,,,,,,,,,,2087568.88
129,611.1332,394.453,300400.0,-1,129.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,204.0,21,,,,,,,,,,,,,,,,,,,,,1926293.99
131,316.9477,437.449,43000.0,-1,131.0,0,neg_singleton,singleton,0,,NEG,206.0,-1,,,,,,,,,,,,,,,,,,,,,2994831.956
132,208.9266,442.849,113400.0,-1,132.0,0,neg_cossingleton,cossingleton,0,,NEG,208.0,126,,,,,,,,,,,,,,,,,,,,,2966785.626
133,258.916,532.713,123600.0,-1,133.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,209.0,31,,,,,,,,,,,,,,,,,,,,,4617768.916
134,145.9297,537.309,55300.0,1,134.0,0,neg_cossingleton,cossingleton,0,,NEG,210.0,18,,,,,,,,,,,,,,,,,,,,,2268306.736
136,567.0883,430.724,95600.0,-1,136.0,0,neg_cossingleton,cossingleton,0,,NEG,213.0,21,,,,,,,,,,,,,,,,,,,,,1181935.191
137,328.8105,443.938,204500.0,-1,137.0,1,neg_adduct,adduct,0,[2M-2H+K]-,NEG,214.0,46,,,,,,,,,,,,,,,,,,,,,2888937.299
138,125.9277,444.712,85200.0,-1,138.0,0,neg_singleton,singleton,0,,NEG,215.0,-1,,,,,,,,,,,,,,,,,,,,,2455173.9
140,435.2374,274.963,471000.0,-1,140.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,218.0,7,,,,,,,,,,,,,,,,,,,,,1307086.832
141,228.994,502.082,461400.0,1,141.0,0,neg_cossingleton,cossingleton,0,,NEG,219.0,1,,,,,,,,,,,,,,,,,,,,,2610574.926
142,212.9101,443.642,72600.0,-1,142.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,220.0,46,,,,,,,,,,,,,,,,,,,,,2541342.421
145,440.265,275.443,299500.0,-1,145.0,0,neg_precursor,precursor,0,,NEG,223.0,7,,,,,,,,,,,,,,,,,,,,,779114.8345
146,383.1905,439.158,134200.0,-1,146.0,0,neg_cossingleton,cossingleton,0,,NEG,224.0,28,,,,,,,,,,,,,,,,,,,,,1331141.1509999998
147,467.1744,276.714,3242000.0,-1,147.0,0,neg_cossingleton,cossingleton,0,,NEG,225.0,1,,,,,,,,,,,,,,,,,,,,,612164.3592
149,450.2125,280.524,143600.0,-1,149.0,0,neg_cossingleton,cossingleton,0,,NEG,227.0,12,,,,,,,,,,,,,,,,,,,,,270312.7706
150,433.2222,274.912,761200.0,-1,150.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,228.0,12,,,,,,,,,,,,,,,,,,,,,233598.2244
151,438.2511,280.517,342500.0,-1,151.0,0,neg_precursor,precursor,0,,NEG,229.0,12,,,,,,,,,,,,,,,,,,,,,202147.9314
153,409.3128,417.881,214800.0,-1,153.0,0,neg_singleton,singleton,0,,NEG,231.0,-1,,,,,,,,,,,,,,,,,,,,,334027.5302
154,503.2249,272.685,61000.0,-1,154.0,0,neg_singleton,singleton,0,,NEG,232.0,-1,,,,,,,,,,,,,,,,,,,,,160700.1104
155,323.2589,276.789,708000.0,-1,155.0,0,neg_fragment,fragment,0,,NEG,233.0,7,,,,,,,,,,,,,,,,,,,,,104738.568
156,479.2778,277.324,87000.0,-1,156.0,0,neg_singleton,singleton,0,,NEG,234.0,-1,,,,,,,,,,,,,,,,,,,,,130755.8385
158,370.2573,275.049,259600.0,1,158.0,0,neg_cossingleton,cossingleton,0,,NEG,237.0,123,,,,,,,,,,,,,,,,,,,,,57356.01692
159,200.924,438.179,372500.0,1,159.0,0,neg_cossingleton,cossingleton,0,,NEG,238.0,1,,,,,,,,,,,,,,,,,,,,,3532960.213
160,465.1595,280.927,2663000.0,-1,160.0,0,neg_cossingleton,cossingleton,0,,NEG,239.0,123,,,,,,,,,,,,,,,,,,,,,57924.95125
161,397.2601,310.514,230300.0,-1,161.0,0,neg_singleton,singleton,0,,NEG,240.0,-1,,,,,,,,,,,,,,,,,,,,,65077.96366
175,178.9767,4.799,114600.0,1,175.0,0,neg_cossingleton,cossingleton,0,,NEG,256.0,107,,,,,,,,,,,,,,,,,,,,,2929165.5930000003
192,197.8072,507.196,10203500.0,1,192.0,0,neg_cossingleton,cossingleton,0,,NEG,277.0,130,,,,,,,,,,,,,,,,,,,,,34660923.34
193,593.1213,448.027,5341000.0,-1,193.0,0,neg_adduct,adduct,0,[M-H]-,NEG,278.0,11,,,,,,,,,,,,,,,,,,,,,94438330.58
194,683.1719,448.027,5113000.0,-1,194.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,281.0,11,,,,,,,,,,,,,,,,,,,,,47181128.21
196,743.1392,438.104,2821000.0,-1,196.0,0,neg_adduct,adduct,0,[M-H]-,NEG,284.0,17,,,,,,,,,,,,,,,,,,,,,36467344.11
199,307.8558,513.661,497900.0,-1,199.0,0,neg_adduct,adduct,0,[M-H]-,NEG,293.0,35,,,,,,,,,,,,,,,,,,,,,47907694.41
201,209.8331,507.258,439400.0,1,201.0,0,neg_cossingleton,cossingleton,0,,NEG,305.0,76,,,,,,,,,,,,,,,,,,,,,4751973.45
202,132.8665,508.99,1513000.0,1,202.0,0,neg_singleton,singleton,0,,NEG,306.0,-1,,,,,,,,,,,,,,,,,,,,,8301382.162
203,833.1891,457.467,1274800.0,-1,203.0,0,neg_adduct,adduct,0,[M-H]-,NEG,307.0,106,,,,,,,,,,,,,,,,,,,,,6684408.735
204,178.9768,511.769,483600.0,1,204.0,0,neg_adduct,adduct,0,[M-H]-,NEG,308.0,107,,,,,,,,,,,,,,,,,,,,,24564643.16
211,190.9275,2.905,922500.0,1,211.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,321.0,30,,,,,,,,,,,,,,,,,,,,,9460212.297
214,173.9251,506.183,726200.0,1,214.0,0,neg_precursor,precursor,0,,NEG,325.0,1,,,,,,,,,,,,,,,,,,,,,3611951.727
239,315.182,187.521,154200.0,-1,239.0,0,neg_adduct,adduct,0,[4M+Cl]-,NEG,362.0,19,,,,,,,,,,,,,,,,,,,,,1085680.939
243,445.0847,400.745,141500.0,-1,243.0,0,neg_fragment,fragment,0,,NEG,368.0,70,,,,,,,,,,,,,,,,,,,,,2106962.119
254,667.1412,464.678,199900.0,-1,254.0,0,neg_cossingleton,cossingleton,0,,NEG,385.0,34,,,,,,,,,,,,,,,,,,,,,761091.5101
271,239.0591,182.976,135400.0,-1,271.0,0,neg_adduct,adduct,0,[M-H]-,NEG,409.0,109,,,,,,,,,,,,,,,,,,,,,1193374.423
302,174.9549,505.719,3497000.0,1,302.0,0,neg_adduct,adduct,0,[M-H]-,NEG,444.0,15,,,,,,,,,,,,,,,,,,,,,46290440.37
303,144.9222,504.796,14486000.0,-1,303.0,0,neg_adduct,adduct,0,[M-H]-,NEG,446.0,1,,,,,,,,,,,,,,,,,,,,,50931285.62
306,355.1582,375.196,3258000.0,-1,306.0,0,neg_adduct,adduct,0,[M-H]-,NEG,451.0,28,,,,,,,,,,,,,,,,,,,,,2754197.245
307,312.8363,504.764,1214100.0,-1,307.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,453.0,1,,,,,,,,,,,,,,,,,,,,,13770895.0
308,207.836,507.54,2231000.0,1,308.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,454.0,76,,,,,,,,,,,,,,,,,,,,,14624751.63
310,134.8933,504.867,241700.0,-1,310.0,0,neg_cossingleton,cossingleton,0,,NEG,460.0,1,,,,,,,,,,,,,,,,,,,,,5661646.661
311,200.8582,504.247,847400.0,-1,311.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,461.0,1,,,,,,,,,,,,,,,,,,,,,13150568.48
312,215.868,508.502,1261300.0,-1,312.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,462.0,62,,,,,,,,,,,,,,,,,,,,,10710782.86
315,146.9374,513.842,1408800.0,1,315.0,0,neg_fragment,fragment,0,,NEG,467.0,18,,,,,,,,,,,,,,,,,,,,,53848560.3
318,743.1394,457.448,3598000.0,-1,318.0,0,neg_adduct,adduct,0,[M-H]-,NEG,472.0,50,,,,,,,,,,,,,,,,,,,,,45587719.61
321,225.8968,508.606,461100.0,-1,321.0,0,neg_singleton,singleton,0,,NEG,477.0,-1,,,,,,,,,,,,,,,,,,,,,16376615.3
324,336.8587,512.94,777200.0,-1,324.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,481.0,18,,,,,,,,,,,,,,,,,,,,,33102705.55
326,322.8868,505.687,618200.0,-1,326.0,0,neg_precursor,precursor,0,,NEG,484.0,15,,,,,,,,,,,,,,,,,,,,,5464455.331
328,134.8641,508.905,1819700.0,1,328.0,0,neg_singleton,singleton,0,,NEG,487.0,-1,,,,,,,,,,,,,,,,,,,,,8444804.081
330,242.943,505.213,741900.0,-1,330.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,493.0,15,,,,,,,,,,,,,,,,,,,,,4074778.156
338,132.9222,505.227,1356700.0,1,338.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,506.0,1,,,,,,,,,,,,,,,,,,,,,2048967.457
340,125.8718,508.098,146400.0,1,340.0,0,neg_cossingleton,cossingleton,0,,NEG,508.0,123,,,,,,,,,,,,,,,,,,,,,5170488.617
341,180.9724,511.714,632000.0,1,341.0,0,neg_adduct,adduct,0,[M-H]-,NEG,512.0,112,,,,,,,,,,,,,,,,,,,,,18474036.66
362,320.8862,511.09,296000.0,-1,362.0,0,neg_adduct,adduct,0,[M-2H+K]-,NEG,545.0,15,,,,,,,,,,,,,,,,,,,,,11068888.61
366,146.9647,16.35,631200.0,1,366.0,0,neg_cossingleton,cossingleton,0,,NEG,551.0,142,,,,,,,,,,,,,,,,,,,,,1870238.957
368,199.8503,504.129,135300.0,1,368.0,0,neg_cossingleton,cossingleton,0,,NEG,553.0,1,,,,,,,,,,,,,,,,,,,,,2874664.102
378,309.1742,299.301,162400.0,1,378.0,0,neg_cossingleton,cossingleton,0,,NEG,569.0,123,,,,,,,,,,,,,,,,,,,,,564658.7644
384,198.8636,504.376,113100.0,1,384.0,0,neg_cossingleton,cossingleton,0,,NEG,581.0,1,,,,,,,,,,,,,,,,,,,,,1304901.257
396,353.1637,375.123,215700.0,1,396.0,0,neg_cossingleton,cossingleton,0,,NEG,601.0,28,,,,,,,,,,,,,,,,,,,,,102649.0066
403,965.1958,499.605,896300.0,-1,403.0,0,neg_adduct,adduct,0,[M-H]-,NEG,610.0,34,,,,,,,,,,,,,,,,,,,,,2201276.221
404,285.9086,533.228,181400.0,-1,404.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,611.0,66,,,,,,,,,,,,,,,,,,,,,3711310.221
418,129.9745,15.781,789100.0,1,418.0,0,neg_singleton,singleton,0,,NEG,639.0,-1,,,,,,,,,,,,,,,,,,,,,430501.3394
429,164.9261,15.182,130800.0,1,429.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,653.0,10,,,,,,,,,,,,,,,,,,,,,649402.6081
434,1011.2023,498.629,550300.0,-1,434.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,661.0,34,,,,,,,,,,,,,,,,,,,,,909546.0358
460,365.2332,289.338,70130000.0,-1,460.0,0,neg_adduct,adduct,0,[M-H]-,NEG,689.0,12,,,,,,,,,,,,,,,,,,,,,5153835.069
469,457.1881,283.479,313700000.0,-1,469.0,0,neg_adduct,adduct,0,[M-H]-,NEG,698.0,116,Miriquidic acid|Glomelliferic acid,457.1862|457.1862,274.234009|275.13501,[M-H]-|[M-H]-,C25H30O8|C25H30O8,Oc1cc(OC(=O)c2c(O)cc(OC)cc2CCC(=O)CC)cc(CCCCC)c1C(=O)O|Oc1c(C(=O)Oc2cc(O)c(C(=O)O)c(CCCCC)c2)c(CC(=O)CCC)cc(OC)c1,"InChI=1S/C25H30O8/c1-4-6-7-8-15-12-19(14-20(27)22(15)24(29)30)33-25(31)23-16(9-10-17(26)5-2)11-18(32-3)13-21(23)28/h11-14,27-28H,4-10H2,1-3H3,(H,29,30)|InChI=1S/C25H30O8/c1-4-6-7-9-15-11-19(14-20(27)22(15)24(29)30)33-25(31)23-16(10-17(26)8-5-2)12-18(32-3)13-21(23)28/h11-14,27-28H,4-10H2,1-3H3,(H,29,30)",UCYIOAVHQGSYLP-UHFFFAOYSA-N|PKLMGLZTAHCGBQ-UHFFFAOYSA-N,Depsides (Didepsides)|Depsides (Didepsides),Thermo Q-Exactive Focus|Thermo Q-Exactive Focus,1.0|0.97,7|6,1.9|1.9,,,,,,,,156760.6636
501,187.0967,105.018,318700.0,-1,501.0,0,neg_adduct,adduct,0,[M-H]-,NEG,743.0,120,,,,,,,,,,,,,,,,,,,,,7283707.085
507,243.1598,189.894,244300.0,1,507.0,0,neg_cossingleton,cossingleton,0,,NEG,750.0,104,,,,,,,,,,,,,,,,,,,,,4681616.962
524,173.0811,82.796,104300.0,1,524.0,0,neg_cossingleton,cossingleton,0,,NEG,774.0,120,,,,,,,,,,,,,,,,,,,,,3424713.618
539,215.1283,149.22,87400.0,-1,539.0,0,neg_cossingleton,cossingleton,0,,NEG,793.0,120,,,,,,,,,,,,,,,,,,,,,914735.3066
563,184.9857,505.046,19007000.0,1,1.0,0,pos_adduct,adduct,0,[M+H]+,POS,3.0,9,,,,,,,,,,,,,,,,,,,,,49623329.68
564,776.234,439.832,17316000.0,1,2.0,0,pos_adduct,adduct,0,[M+H+CH3OH]+,POS,7.0,73,,,,,,,,,,,,,,,,,,,,,38483278.91
565,327.0085,209.923,5175000.0,1,3.0,0,pos_cossingleton,cossingleton,0,,POS,12.0,124,,,,,,,,,,,,,,,,,,,,,52907849.66
566,852.2316,457.666,15601000.0,1,4.0,0,pos_adduct,adduct,0,[M+NH4]+,POS,13.0,106,,,,,,,,,,,,,,,,,,,,,35206818.2
567,144.9823,509.816,8781800.0,1,5.0,0,pos_fragment,fragment,0,,POS,18.0,98,,,,,,,,,,,,,,,,,,,,,32801790.98
568,181.0148,505.421,1141900.0,1,6.0,1,pos_adduct,adduct,0,[M+H+CH3CN]+,POS,23.0,9,,,,,,,,,,,,,,,,,,,,,6454643.307999999
569,485.3992,433.449,2160300.0,1,7.0,0,pos_cossingleton,cossingleton,0,,POS,26.0,4,,,,,,,,,,,,,,,,,,,,,21447687.11
570,287.8888,513.32,2380600.0,1,8.0,0,pos_adduct,adduct,0,[M+H]+,POS,28.0,77,,,,,,,,,,,,,,,,,,,,,45704342.6
571,332.9167,505.59,963400.0,1,9.0,0,pos_cossingleton,cossingleton,0,,POS,32.0,56,,,,,,,,,,,,,,,,,,,,,4733674.66
573,247.1669,504.994,1412200.0,1,11.0,2,pos_adduct,adduct,0,[2M+H]+,POS,36.0,80,,,,,,,,,,,,,,,,,,,,,3479856.508
574,145.1338,504.915,2810800.0,1,12.0,0,pos_cossingleton,cossingleton,0,,POS,37.0,165,,,,,,,,,,,,,,,,,,,,,4151271.005
575,762.1805,437.891,773800.0,1,13.0,0,pos_adduct,adduct,0,[M+NH4]+,POS,38.0,17,,,,,,,,,,,,,,,,,,,,,5223893.013
