Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,012_Caperatic_acid
18,192.9279,505.542,440600.0,1,18.0,0,neg_fragment,fragment,0,,NEG,43.0,1,,,,,,,,,,,,,,,,,,,,,4312828.164
21,206.972,510.907,414000.0,1,21.0,0,neg_cossingleton,cossingleton,0,,NEG,49.0,107,,,,,,,,,,,,,,,,,,,,,16027371.55
22,145.9296,512.903,130800.0,1,22.0,0,neg_fragment,fragment,0,,NEG,50.0,18,,,,,,,,,,,,,,,,,,,,,16422085.7
23,187.9409,505.597,471100.0,-1,23.0,0,neg_fragment,fragment,0,,NEG,51.0,1,,,,,,,,,,,,,,,,,,,,,8017046.976
24,187.9278,510.262,889500.0,-1,24.0,0,neg_cossingleton,cossingleton,0,,NEG,53.0,1,,,,,,,,,,,,,,,,,,,,,16701189.35
27,352.8534,512.792,247500.0,-1,27.0,0,neg_precursor,precursor,0,,NEG,63.0,18,,,,,,,,,,,,,,,,,,,,,10434204.54
28,248.9599,13.921,439100.0,1,28.0,0,neg_cossingleton,cossingleton,0,,NEG,68.0,10,,,,,,,,,,,,,,,,,,,,,1527446.332
29,239.9024,515.825,172000.0,1,29.0,0,neg_adduct,adduct,0,[M-H]-,NEG,69.0,51,,,,,,,,,,,,,,,,,,,,,10357517.03
30,316.9477,13.891,756400.0,-1,30.0,0,neg_cossingleton,cossingleton,0,,NEG,70.0,74,,,,,,,,,,,,,,,,,,,,,1105467.104
31,143.938,510.509,339100.0,1,31.0,0,neg_fragment,fragment,0,,NEG,71.0,99,,,,,,,,,,,,,,,,,,,,,8748517.181
32,239.9024,533.667,137300.0,-1,32.0,0,neg_adduct,adduct,0,[M-H]-,NEG,73.0,66,,,,,,,,,,,,,,,,,,,,,5327435.062
35,184.9289,452.287,649000.0,-1,35.0,0,neg_cossingleton,cossingleton,0,,NEG,78.0,1,,,,,,,,,,,,,,,,,,,,,4826511.788
36,567.0881,457.874,155800.0,-1,36.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,80.0,22,,,,,,,,,,,,,,,,,,,,,2092518.393
37,394.8904,13.873,208200.0,-1,37.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,81.0,58,,,,,,,,,,,,,,,,,,,,,723763.4240000001
40,326.9032,14.074,192200.0,-1,40.0,0,neg_adduct,adduct,0,[M-H]-,NEG,84.0,58,,,,,,,,,,,,,,,,,,,,,981515.2639
41,893.1561,435.599,426500.0,-1,41.0,0,neg_adduct,adduct,0,[M-H]-,NEG,85.0,101,,,,,,,,,,,,,,,,,,,,,1890719.941
46,384.935,13.895,532300.0,-1,46.0,0,neg_adduct,adduct,0,[M-H]-,NEG,92.0,74,,,,,,,,,,,,,,,,,,,,,442464.6843
47,142.9278,505.003,731100.0,1,47.0,0,neg_cossingleton,cossingleton,0,,NEG,93.0,1,,,,,,,,,,,,,,,,,,,,,1514135.989
49,239.9025,4.147,107300.0,-1,49.0,0,neg_adduct,adduct,0,[M-H]-,NEG,95.0,82,,,,,,,,,,,,,,,,,,,,,3829984.057
53,160.9171,504.354,328600.0,-1,53.0,0,neg_cossingleton,cossingleton,0,,NEG,99.0,1,,,,,,,,,,,,,,,,,,,,,1699037.671
55,244.8482,504.285,321300.0,-1,55.0,0,neg_cossingleton,cossingleton,0,,NEG,101.0,1,,,,,,,,,,,,,,,,,,,,,1500567.802
56,378.918,13.89,155700.0,-1,56.0,0,neg_cossingleton,cossingleton,0,,NEG,103.0,10,,,,,,,,,,,,,,,,,,,,,1130952.579
60,151.039,6.59,326100.0,-1,60.0,0,neg_cossingleton,cossingleton,0,,NEG,114.0,123,,,,,,,,,,,,,,,,,,,,,708252.0703
61,186.1125,75.61,78400.0,-1,61.0,0,neg_cossingleton,cossingleton,0,,NEG,116.0,120,,,,,,,,,,,,,,,,,,,,,594471.5547
63,228.9938,500.033,142500.0,-1,63.0,0,neg_cossingleton,cossingleton,0,,NEG,119.0,123,,,,,,,,,,,,,,,,,,,,,2829347.0160000003
65,134.864,15.72,563500.0,1,65.0,0,neg_cossingleton,cossingleton,0,,NEG,121.0,123,,,,,,,,,,,,,,,,,,,,,2384599.8340000003
66,132.8665,15.528,246300.0,1,66.0,0,neg_singleton,singleton,0,,NEG,122.0,-1,,,,,,,,,,,,,,,,,,,,,2326193.603
67,180.9725,3.988,114700.0,1,67.0,0,neg_cossingleton,cossingleton,0,,NEG,123.0,112,,,,,,,,,,,,,,,,,,,,,3007409.044
68,1025.1626,476.545,335300.0,-1,68.0,0,neg_adduct,adduct,0,[M-H]-,NEG,124.0,102,,,,,,,,,,,,,,,,,,,,,843952.6826
69,452.9224,13.904,402500.0,-1,69.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,127.0,74,,,,,,,,,,,,,,,,,,,,,220829.7949
72,160.8409,15.602,158900.0,-1,72.0,0,neg_singleton,singleton,0,,NEG,134.0,-1,,,,,,,,,,,,,,,,,,,,,291379.6728
73,146.9599,7.064,170500.0,1,73.0,0,neg_cossingleton,cossingleton,0,,NEG,135.0,30,,,,,,,,,,,,,,,,,,,,,1855906.526
75,313.0791,501.754,616500.0,1,75.0,0,neg_precursor,precursor,0,,NEG,138.0,1,,,,,,,,,,,,,,,,,,,,,690164.8506
79,521.083,402.739,100600.0,-1,79.0,0,neg_cossingleton,cossingleton,0,,NEG,144.0,22,,,,,,,,,,,,,,,,,,,,,763801.6437
81,217.8093,15.338,60000.0,1,81.0,0,neg_singleton,singleton,0,,NEG,146.0,-1,,,,,,,,,,,,,,,,,,,,,1018988.561
82,817.1593,476.564,160900.0,-1,82.0,0,neg_cossingleton,cossingleton,0,,NEG,147.0,34,,,,,,,,,,,,,,,,,,,,,677707.8057
84,215.868,15.57,171100.0,1,84.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,150.0,68,,,,,,,,,,,,,,,,,,,,,397693.7563
85,191.9453,16.481,170800.0,1,85.0,0,neg_cossingleton,cossingleton,0,,NEG,151.0,142,,,,,,,,,,,,,,,,,,,,,679117.5487
93,165.04,501.754,75100.0,-1,93.0,0,neg_singleton,singleton,0,,NEG,159.0,-1,,,,,,,,,,,,,,,,,,,,,399228.3769
99,951.2352,460.193,696200.0,-1,99.0,0,neg_cossingleton,cossingleton,0,,NEG,169.0,11,,,,,,,,,,,,,,,,,,,,,702747.4065
104,250.1446,294.442,165800.0,-1,104.0,0,neg_singleton,singleton,0,,NEG,175.0,-1,,,,,,,,,,,,,,,,,,,,,338483.696
108,435.0822,275.707,216900.0,-1,108.0,0,neg_cossingleton,cossingleton,0,,NEG,180.0,47,,,,,,,,,,,,,,,,,,,,,131658.3989
110,285.2073,246.432,104200.0,-1,110.0,0,neg_adduct,adduct,0,[M-H]-,NEG,182.0,104,,,,,,,,,,,,,,,,,,,,,300051.0988
114,255.2326,375.743,126800.0,-1,114.0,0,neg_singleton,singleton,0,,NEG,186.0,-1,,,,,,,,,,,,,,,,,,,,,315880.6944
120,312.8363,444.291,417000.0,-1,120.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,192.0,46,,,,,,,,,,,,,,,,,,,,,6503846.889
128,657.139,394.54,302500.0,-1,128.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,203.0,21,,,,,,,,,,,,,,,,,,,,,273226.6568
129,611.1332,394.453,300400.0,-1,129.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,204.0,21,,,,,,,,,,,,,,,,,,,,,350722.8677
148,215.1649,246.872,14970000.0,-1,148.0,0,neg_cossingleton,cossingleton,0,,NEG,226.0,123,,,,,,,,,,,,,,,,,,,,,384935.8227
162,235.9255,534.496,273500.0,-1,162.0,0,neg_precursor,precursor,0,,NEG,241.0,31,,,,,,,,,,,,,,,,,,,,,26925807.7
168,320.8862,535.199,145300.0,-1,168.0,0,neg_precursor,precursor,0,,NEG,249.0,33,,,,,,,,,,,,,,,,,,,,,3375277.728
175,178.9767,4.799,114600.0,1,175.0,0,neg_cossingleton,cossingleton,0,,NEG,256.0,107,,,,,,,,,,,,,,,,,,,,,2644450.525
186,463.152,377.239,151200.0,-1,186.0,0,neg_precursor,precursor,0,,NEG,270.0,28,,,,,,,,,,,,,,,,,,,,,314975.3826
189,275.1689,280.029,134300.0,-1,189.0,0,neg_singleton,singleton,0,,NEG,274.0,-1,,,,,,,,,,,,,,,,,,,,,38837.55569
192,197.8072,507.196,10203500.0,1,192.0,0,neg_cossingleton,cossingleton,0,,NEG,277.0,130,,,,,,,,,,,,,,,,,,,,,34758621.64
193,593.1213,448.027,5341000.0,-1,193.0,0,neg_adduct,adduct,0,[M-H]-,NEG,278.0,11,,,,,,,,,,,,,,,,,,,,,78288389.5
195,729.1778,446.621,3172000.0,-1,195.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,283.0,11,,,,,,,,,,,,,,,,,,,,,30075659.76
196,743.1392,438.104,2821000.0,-1,196.0,0,neg_adduct,adduct,0,[M-H]-,NEG,284.0,17,,,,,,,,,,,,,,,,,,,,,17245892.09
198,207.9309,532.13,1084000.0,-1,198.0,0,neg_cossingleton,cossingleton,0,,NEG,290.0,31,,,,,,,,,,,,,,,,,,,,,21446843.53
199,307.8558,513.661,497900.0,-1,199.0,0,neg_adduct,adduct,0,[M-H]-,NEG,293.0,35,,,,,,,,,,,,,,,,,,,,,48670498.22
201,209.8331,507.258,439400.0,1,201.0,0,neg_cossingleton,cossingleton,0,,NEG,305.0,76,,,,,,,,,,,,,,,,,,,,,4585916.699
202,132.8665,508.99,1513000.0,1,202.0,0,neg_singleton,singleton,0,,NEG,306.0,-1,,,,,,,,,,,,,,,,,,,,,7675868.082
203,833.1891,457.467,1274800.0,-1,203.0,0,neg_adduct,adduct,0,[M-H]-,NEG,307.0,106,,,,,,,,,,,,,,,,,,,,,6650160.207
204,178.9768,511.769,483600.0,1,204.0,0,neg_adduct,adduct,0,[M-H]-,NEG,308.0,107,,,,,,,,,,,,,,,,,,,,,21862319.01
205,235.9255,2.929,163000.0,-1,205.0,0,neg_precursor,precursor,0,,NEG,309.0,30,,,,,,,,,,,,,,,,,,,,,16575092.66
206,205.839,15.565,986300.0,1,206.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,310.0,68,,,,,,,,,,,,,,,,,,,,,156798.8667
209,207.9305,2.937,274900.0,-1,209.0,0,neg_cossingleton,cossingleton,0,,NEG,316.0,30,,,,,,,,,,,,,,,,,,,,,13567175.51
211,190.9275,2.905,922500.0,1,211.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,321.0,30,,,,,,,,,,,,,,,,,,,,,8326469.846
214,173.9251,506.183,726200.0,1,214.0,0,neg_precursor,precursor,0,,NEG,325.0,1,,,,,,,,,,,,,,,,,,,,,3904351.83
221,242.9434,8.009,411700.0,-1,221.0,0,neg_adduct,adduct,0,[M-H]-,NEG,339.0,10,,,,,,,,,,,,,,,,,,,,,4175129.495
231,310.9309,13.632,322600.0,-1,231.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,352.0,10,,,,,,,,,,,,,,,,,,,,,2089605.123
233,375.8433,515.687,98500.0,-1,233.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,354.0,35,,,,,,,,,,,,,,,,,,,,,6311545.957
237,383.1894,406.92,3251000.0,-1,237.0,0,neg_fragment,fragment,0,,NEG,360.0,100,,,,,,,,,,,,,,,,,,,,,4081650.913
242,151.039,537.921,173600.0,-1,242.0,0,neg_cossingleton,cossingleton,0,,NEG,367.0,10,,,,,,,,,,,,,,,,,,,,,655714.5669
244,471.2029,352.144,36000.0,-1,244.0,0,neg_singleton,singleton,0,,NEG,370.0,-1,,,,,,,,,,,,,,,,,,,,,1160844.071
247,521.0813,448.587,90400.0,-1,247.0,0,neg_adduct,adduct,0,[M-H]-,NEG,374.0,22,,,,,,,,,,,,,,,,,,,,,1505150.745
249,307.856,5.684,39500.0,-1,249.0,0,neg_cossingleton,cossingleton,0,,NEG,379.0,35,,,,,,,,,,,,,,,,,,,,,1867014.459
251,320.8868,21.838,94300.0,-1,251.0,0,neg_cossingleton,cossingleton,0,,NEG,381.0,10,,,,,,,,,,,,,,,,,,,,,1592617.6630000002
258,234.8194,504.005,119900.0,-1,258.0,0,neg_cossingleton,cossingleton,0,,NEG,392.0,130,,,,,,,,,,,,,,,,,,,,,1378454.999
270,304.9141,9.048,184300.0,-1,270.0,0,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,408.0,10,,,,,,,,,,,,,,,,,,,,,1705777.594
271,239.0591,182.976,135400.0,-1,271.0,0,neg_adduct,adduct,0,[M-H]-,NEG,409.0,109,,,,,,,,,,,,,,,,,,,,,677960.3322
274,875.1459,448.658,124600.0,-1,274.0,0,neg_singleton,singleton,0,,NEG,412.0,-1,,,,,,,,,,,,,,,,,,,,,289541.3907
277,158.9774,12.944,176900.0,-1,277.0,0,neg_cossingleton,cossingleton,0,,NEG,415.0,33,,,,,,,,,,,,,,,,,,,,,541431.3051
279,343.0827,349.231,146900.0,-1,279.0,0,neg_cossingleton,cossingleton,0,,NEG,417.0,135,,,,,,,,,,,,,,,,,,,,,212257.1696
295,385.2955,333.642,124050000.0,-1,295.0,0,neg_adduct,adduct,0,[M-H]-,NEG,435.0,0,Bourgeanic acid,385.2954,332.001007,[M-H]-,C22H42O5,CC[C@@H](C)C[C@@H](C)[C@@H]([C@H](C)C(=O)O[C@@H]([C@H](C)C[C@H](C)CC)[C@H](C)C(=O)O)O,"InChI=1S/C22H42O5/c1-9-13(3)11-15(5)19(23)17(7)22(26)27-20(18(8)21(24)25)16(6)12-14(4)10-2/h13-20,23H,9-12H2,1-8H3,(H,24,25)/t13-,14-,15-,16-,17+,18+,19+,20+/m1/s1",ZQEUMOKDJCSNHB-IHRHECOVSA-N,Acids,Thermo Q-Exactive Focus,1.0,2,0.1,,,,,,,,8838876.281
302,174.9549,505.719,3497000.0,1,302.0,0,neg_adduct,adduct,0,[M-H]-,NEG,444.0,15,,,,,,,,,,,,,,,,,,,,,55929344.18
303,144.9222,504.796,14486000.0,-1,303.0,0,neg_adduct,adduct,0,[M-H]-,NEG,446.0,1,,,,,,,,,,,,,,,,,,,,,31474477.73
306,355.1582,375.196,3258000.0,-1,306.0,0,neg_adduct,adduct,0,[M-H]-,NEG,451.0,28,,,,,,,,,,,,,,,,,,,,,7145035.062000001
307,312.8363,504.764,1214100.0,-1,307.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,453.0,1,,,,,,,,,,,,,,,,,,,,,8019064.471
308,207.836,507.54,2231000.0,1,308.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,454.0,76,,,,,,,,,,,,,,,,,,,,,14637714.73
311,200.8582,504.247,847400.0,-1,311.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,461.0,1,,,,,,,,,,,,,,,,,,,,,12645882.67
312,215.868,508.502,1261300.0,-1,312.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,462.0,62,,,,,,,,,,,,,,,,,,,,,10830548.2
315,146.9374,513.842,1408800.0,1,315.0,0,neg_fragment,fragment,0,,NEG,467.0,18,,,,,,,,,,,,,,,,,,,,,49889556.07
318,743.1394,457.448,3598000.0,-1,318.0,0,neg_adduct,adduct,0,[M-H]-,NEG,472.0,50,,,,,,,,,,,,,,,,,,,,,40465185.5
321,225.8968,508.606,461100.0,-1,321.0,0,neg_singleton,singleton,0,,NEG,477.0,-1,,,,,,,,,,,,,,,,,,,,,14991828.15
324,336.8587,512.94,777200.0,-1,324.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,481.0,18,,,,,,,,,,,,,,,,,,,,,33997627.09
326,322.8868,505.687,618200.0,-1,326.0,0,neg_precursor,precursor,0,,NEG,484.0,15,,,,,,,,,,,,,,,,,,,,,5632724.18
328,134.8641,508.905,1819700.0,1,328.0,0,neg_singleton,singleton,0,,NEG,487.0,-1,,,,,,,,,,,,,,,,,,,,,8185613.159
330,242.943,505.213,741900.0,-1,330.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,493.0,15,,,,,,,,,,,,,,,,,,,,,4389456.444
331,222.8293,507.514,166700.0,1,331.0,0,neg_cossingleton,cossingleton,0,,NEG,495.0,149,,,,,,,,,,,,,,,,,,,,,2653111.547
332,224.8264,507.609,169000.0,1,332.0,0,neg_cossingleton,cossingleton,0,,NEG,496.0,149,,,,,,,,,,,,,,,,,,,,,2506756.035
338,132.9222,505.227,1356700.0,1,338.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,506.0,1,,,,,,,,,,,,,,,,,,,,,2517040.547
340,125.8718,508.098,146400.0,1,340.0,0,neg_cossingleton,cossingleton,0,,NEG,508.0,123,,,,,,,,,,,,,,,,,,,,,5041706.653
341,180.9724,511.714,632000.0,1,341.0,0,neg_adduct,adduct,0,[M-H]-,NEG,512.0,112,,,,,,,,,,,,,,,,,,,,,18751930.37
343,228.8533,504.002,300400.0,-1,343.0,0,neg_cossingleton,cossingleton,0,,NEG,515.0,123,,,,,,,,,,,,,,,,,,,,,3602843.952
348,299.9191,505.019,135400.0,-1,348.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,523.0,1,,,,,,,,,,,,,,,,,,,,,3098278.52
352,229.9006,504.787,81600.0,1,352.0,0,neg_cossingleton,cossingleton,0,,NEG,529.0,1,,,,,,,,,,,,,,,,,,,,,1175374.0
359,965.1953,450.416,930700.0,-1,359.0,0,neg_cossingleton,cossingleton,0,,NEG,541.0,34,,,,,,,,,,,,,,,,,,,,,1155142.243
360,453.7865,512.466,198400.0,-1,360.0,0,neg_precursor,precursor,0,,NEG,542.0,35,,,,,,,,,,,,,,,,,,,,,9779014.991
361,328.8102,504.826,345100.0,1,361.0,1,neg_adduct,adduct,0,[2M-2H+K]-,NEG,544.0,1,,,,,,,,,,,,,,,,,,,,,3073319.36
362,320.8862,511.09,296000.0,-1,362.0,0,neg_adduct,adduct,0,[M-2H+K]-,NEG,545.0,15,,,,,,,,,,,,,,,,,,,,,9780764.549
363,182.9878,503.862,681000.0,1,363.0,0,neg_cossingleton,cossingleton,0,,NEG,548.0,123,,,,,,,,,,,,,,,,,,,,,10463074.55
365,967.1948,450.28,387500.0,-1,365.0,0,neg_cossingleton,cossingleton,0,,NEG,550.0,34,,,,,,,,,,,,,,,,,,,,,1004512.503
366,146.9647,16.35,631200.0,1,366.0,0,neg_cossingleton,cossingleton,0,,NEG,551.0,142,,,,,,,,,,,,,,,,,,,,,1652073.264
368,199.8503,504.129,135300.0,1,368.0,0,neg_cossingleton,cossingleton,0,,NEG,553.0,1,,,,,,,,,,,,,,,,,,,,,2879357.342
370,134.8933,332.493,373200.0,-1,370.0,0,neg_cossingleton,cossingleton,0,,NEG,556.0,1,,,,,,,,,,,,,,,,,,,,,2340189.881
371,194.9056,336.701,177700.0,1,371.0,0,neg_cossingleton,cossingleton,0,,NEG,557.0,104,,,,,,,,,,,,,,,,,,,,,734257.577
373,328.8303,506.353,541900.0,-1,373.0,1,neg_adduct,adduct,0,[3M+Cl]-,NEG,559.0,1,,,,,,,,,,,,,,,,,,,,,2391041.602
377,222.8403,504.691,75200.0,-1,377.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,567.0,1,,,,,,,,,,,,,,,,,,,,,1415228.826
378,309.1742,299.301,162400.0,1,378.0,0,neg_cossingleton,cossingleton,0,,NEG,569.0,123,,,,,,,,,,,,,,,,,,,,,1279698.624
379,491.1832,407.065,203500.0,-1,379.0,0,neg_cossingleton,cossingleton,0,,NEG,570.0,28,,,,,,,,,,,,,,,,,,,,,293426.0269
384,198.8636,504.376,113100.0,1,384.0,0,neg_cossingleton,cossingleton,0,,NEG,581.0,1,,,,,,,,,,,,,,,,,,,,,1302010.073
390,299.2589,349.722,113300.0,-1,390.0,0,neg_singleton,singleton,0,,NEG,590.0,-1,,,,,,,,,,,,,,,,,,,,,111037.6204
401,461.1162,409.416,439700.0,-1,401.0,0,neg_cossingleton,cossingleton,0,,NEG,608.0,47,,,,,,,,,,,,,,,,,,,,,4853783.916
403,965.1958,499.605,896300.0,-1,403.0,0,neg_adduct,adduct,0,[M-H]-,NEG,610.0,34,,,,,,,,,,,,,,,,,,,,,2953110.493
404,285.9086,533.228,181400.0,-1,404.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,611.0,66,,,,,,,,,,,,,,,,,,,,,2578858.74
405,204.9063,13.281,43700.0,1,405.0,0,neg_singleton,singleton,0,,NEG,612.0,-1,,,,,,,,,,,,,,,,,,,,,575586.1328
407,367.2491,276.693,28200.0,-1,407.0,0,neg_singleton,singleton,0,,NEG,615.0,-1,,,,,,,,,,,,,,,,,,,,,705843.781
408,202.9056,13.301,24700.0,1,408.0,0,neg_singleton,singleton,0,,NEG,621.0,-1,,,,,,,,,,,,,,,,,,,,,459292.2175
409,218.809,15.875,117500.0,-1,409.0,0,neg_singleton,singleton,0,,NEG,624.0,-1,,,,,,,,,,,,,,,,,,,,,2015350.962
413,327.291,377.367,102400.0,1,413.0,0,neg_cossingleton,cossingleton,0,,NEG,628.0,134,,,,,,,,,,,,,,,,,,,,,75146.52777999999
414,200.9241,502.586,459600.0,1,414.0,0,neg_cossingleton,cossingleton,0,,NEG,629.0,1,,,,,,,,,,,,,,,,,,,,,2050414.163
416,216.8087,15.785,72400.0,1,416.0,0,neg_singleton,singleton,0,,NEG,635.0,-1,,,,,,,,,,,,,,,,,,,,,1674948.51
421,145.9296,3.117,73900.0,1,421.0,0,neg_cossingleton,cossingleton,0,,NEG,642.0,18,,,,,,,,,,,,,,,,,,,,,1577251.0669999998
422,507.1214,498.067,92700.0,-1,422.0,0,neg_cossingleton,cossingleton,0,,NEG,645.0,47,,,,,,,,,,,,,,,,,,,,,207709.0311
423,815.1794,458.989,106000.0,-1,423.0,0,neg_adduct,adduct,0,[M-H]-,NEG,646.0,114,,,,,,,,,,,,,,,,,,,,,783555.0679
425,965.1973,479.89,312000.0,-1,425.0,0,neg_adduct,adduct,0,[M-H]-,NEG,648.0,115,,,,,,,,,,,,,,,,,,,,,962379.9587
427,195.0292,140.251,181400000.0,-1,427.0,0,neg_cossingleton,cossingleton,0,,NEG,651.0,123,,,,,,,,,,,,,,,,,,,,,934217.5688
428,343.0832,293.608,161600000.0,-1,428.0,0,neg_cossingleton,cossingleton,0,,NEG,652.0,135,Usnic acid,343.0818,290.923004,[M-H]-,C18H16O7,CC12C(=O)C(=C(C=C1Oc1c2c(O)c(C)c(O)c1C(=O)C)O)C(=O)C,"InChI=1S/C18H16O7/c1-6-14(22)12(8(3)20)16-13(15(6)23)18(4)10(25-16)5-9(21)11(7(2)19)17(18)24/h5,21-23H,1-4H3",WEYVVCKOOFYHRW-UHFFFAOYSA-N,Dibenzofuranes,Thermo Q-Exactive Focus,0.74,6,1.4,,,,,,,,453857.4343
429,164.9261,15.182,130800.0,1,429.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,653.0,10,,,,,,,,,,,,,,,,,,,,,1161324.672
432,1025.1623,494.878,242000.0,-1,432.0,0,neg_cossingleton,cossingleton,0,,NEG,657.0,50,,,,,,,,,,,,,,,,,,,,,967354.4137
434,1011.2023,498.629,550300.0,-1,434.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,661.0,34,,,,,,,,,,,,,,,,,,,,,1445120.488
438,315.2541,246.07,93200.0,-1,438.0,0,neg_singleton,singleton,0,,NEG,665.0,-1,,,,,,,,,,,,,,,,,,,,,219252.2038
447,313.0794,401.338,151300.0,-1,447.0,0,neg_singleton,singleton,0,,NEG,676.0,-1,,,,,,,,,,,,,,,,,,,,,144916.6107
448,165.0397,472.301,89400.0,-1,448.0,0,neg_cossingleton,cossingleton,0,,NEG,677.0,109,,,,,,,,,,,,,,,,,,,,,261012.1301
460,365.2332,289.338,70130000.0,-1,460.0,0,neg_adduct,adduct,0,[M-H]-,NEG,689.0,12,,,,,,,,,,,,,,,,,,,,,680446.0095
