Index,mz,rt,TIC,charge,mgf_index,rule_points,status,status_universal,adduct_count,Adnotation,ion_mode,feature_id,cluster_id,ldb_ion_name,ldb_ion_mass,ldb_ion_rt,ldb_ion_adduct,ldb_ion_formula,ldb_ion_smiles,ldb_ion_inchi,ldb_ion_inchikey,ldb_ion_class,ldb_ion_instrument,ldb_ion_cos,ldb_ion_matches,ldb_ion_error_mDa,adduct,colotus_name,colotus_mass,colotus_error_mDa,colotus_smiles,colotus_inchi,colotus_inchikey,002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,004_Acetylportentol.mzXML Peak area,007_12_Desoxydiacetylpyxinol.mzXML Peak area,008_12_Desoxypyxinol.mzXML Peak area,011_Bourgeanic_acid.mzXML Peak area,012_Caperatic_acid.mzXML Peak area
19,789.1446,457.418,542200.0,-1,19.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,46.0,50,,,,,,,,,,,,,,,,,,,,,0.0,6813728.029,0.0,7875055.171,1543185.955,0.0
20,299.919,505.198,163600.0,-1,20.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,47.0,1,,,,,,,,,,,,,,,,,,,,,3327480.416,3807884.002,3435357.2860000003,3289658.228,0.0,0.0
29,239.9024,515.825,172000.0,1,29.0,0,neg_adduct,adduct,0,[M-H]-,NEG,69.0,51,,,,,,,,,,,,,,,,,,,,,0.0,9814719.021,10439483.29,10372402.78,0.0,10357517.03
32,239.9024,533.667,137300.0,-1,32.0,0,neg_adduct,adduct,0,[M-H]-,NEG,73.0,66,,,,,,,,,,,,,,,,,,,,,6889150.687000001,7261337.005,6795429.362000001,7504447.081,6774221.612000001,5327435.062
36,567.0881,457.874,155800.0,-1,36.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,80.0,22,,,,,,,,,,,,,,,,,,,,,0.0,2884255.417,2241865.082,3915002.46,0.0,2092518.393
37,394.8904,13.873,208200.0,-1,37.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,81.0,58,,,,,,,,,,,,,,,,,,,,,1676781.345,1040356.271,1062671.148,0.0,0.0,723763.4240000001
38,222.8403,504.77,68100.0,-1,38.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,82.0,1,,,,,,,,,,,,,,,,,,,,,996991.6045,1352970.769,1402110.0669999998,0.0,0.0,0.0
39,328.8101,504.823,570700.0,1,39.0,1,neg_adduct,adduct,0,[2M-2H+K]-,NEG,83.0,1,,,,,,,,,,,,,,,,,,,,,1427369.556,2796214.691,3060784.691,0.0,0.0,0.0
40,326.9032,14.074,192200.0,-1,40.0,0,neg_adduct,adduct,0,[M-H]-,NEG,84.0,58,,,,,,,,,,,,,,,,,,,,,1834936.393,1512013.444,1480962.231,0.0,0.0,981515.2639
41,893.1561,435.599,426500.0,-1,41.0,0,neg_adduct,adduct,0,[M-H]-,NEG,85.0,101,,,,,,,,,,,,,,,,,,,,,5003127.549,2677696.1980000003,5443064.34,4084721.731,0.0,1890719.941
46,384.935,13.895,532300.0,-1,46.0,0,neg_adduct,adduct,0,[M-H]-,NEG,92.0,74,,,,,,,,,,,,,,,,,,,,,1198268.816,559251.0744,928728.9239,475606.2096,4150871.923,442464.6843
49,239.9025,4.147,107300.0,-1,49.0,0,neg_adduct,adduct,0,[M-H]-,NEG,95.0,82,,,,,,,,,,,,,,,,,,,,,4998780.808999999,3876803.556,0.0,3666570.433,3607906.66,3829984.057
50,173.9253,208.988,242500.0,1,50.0,0,neg_adduct,adduct,0,[M-2H+K]-,NEG,96.0,81,,,,,,,,,,,,,,,,,,,,,2573674.342,3577987.913,0.0,0.0,0.0,0.0
51,291.1604,213.539,70200.0,-1,51.0,0,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,97.0,3,,,,,,,,,,,,,,,,,,,,,0.0,2555142.801,0.0,0.0,0.0,0.0
54,258.9158,518.98,110200.0,-1,54.0,0,neg_adduct,adduct,0,[2M-H]-,NEG,100.0,122,,,,,,,,,,,,,,,,,,,,,0.0,4563719.572,0.0,0.0,0.0,0.0
57,171.9462,211.662,110500.0,1,57.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,105.0,81,,,,,,,,,,,,,,,,,,,,,0.0,3324865.026,0.0,0.0,0.0,0.0
62,521.0812,448.137,108900.0,-1,62.0,0,neg_adduct,adduct,0,[M-H]-,NEG,117.0,22,,,,,,,,,,,,,,,,,,,,,0.0,1897552.147,1897308.976,3096238.539,0.0,0.0
68,1025.1626,476.545,335300.0,-1,68.0,0,neg_adduct,adduct,0,[M-H]-,NEG,124.0,102,,,,,,,,,,,,,,,,,,,,,1919743.535,1162008.607,0.0,1443545.737,679469.5146,843952.6826
69,452.9224,13.904,402500.0,-1,69.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,127.0,74,,,,,,,,,,,,,,,,,,,,,775772.4756,292373.4029,0.0,243836.537,3046054.716,220829.7949
74,815.1791,457.848,167500.0,-1,74.0,0,neg_adduct,adduct,0,[M-H]-,NEG,136.0,103,,,,,,,,,,,,,,,,,,,,,0.0,1180582.654,862284.6665,1806060.644,0.0,0.0
84,215.868,15.57,171100.0,1,84.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,150.0,68,,,,,,,,,,,,,,,,,,,,,2389478.961,300550.967,0.0,0.0,0.0,397693.7563
86,351.183,209.258,240800.0,-1,86.0,0,neg_adduct,adduct,0,[M-H]-,NEG,152.0,3,,,,,,,,,,,,,,,,,,,,,0.0,851488.4119,0.0,0.0,0.0,0.0
92,336.8594,1.751,107700.0,-1,92.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,158.0,30,,,,,,,,,,,,,,,,,,,,,1063529.572,916807.1339,0.0,568847.164,0.0,0.0
97,611.1334,392.702,226100.0,-1,97.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,165.0,21,,,,,,,,,,,,,,,,,,,,,0.0,231296.255,0.0,926820.274,0.0,0.0
110,285.2073,246.432,104200.0,-1,110.0,0,neg_adduct,adduct,0,[M-H]-,NEG,182.0,104,,,,,,,,,,,,,,,,,,,,,0.0,133561.2483,128865.8501,132383.755,0.0,300051.0988
117,367.2487,276.806,97200000.0,-1,117.0,0,neg_adduct,adduct,0,[M-H]-,NEG,189.0,7,Dihydromuronic acid,367.2484,275.695007,[M-H]-,C21H36O5,CC(=O)CCCCCCCCCCCCC[C@@H]1C(C(C)C(=O)O1)C(=O)O,"InChI=1S/C21H36O5/c1-16(22)14-12-10-8-6-4-3-5-7-9-11-13-15-18-19(20(23)24)17(2)21(25)26-18/h17-19H,3-15H2,1-2H3,(H,23,24)/t17?,18-,19?/m1/s1",SPGPUDJMXMJNCU-JLAWEPINSA-N,Paraconic acids,Thermo Q-Exactive Focus,0.95,4,0.3,,,,,,,,0.0,0.0,29057188.35,2862873.539,0.0,0.0
120,312.8363,444.291,417000.0,-1,120.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,192.0,46,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15196870.42,0.0,7587794.675,6503846.889
125,328.8302,506.425,287000.0,1,125.0,0,neg_adduct,adduct,0,[3M+Cl]-,NEG,200.0,1,,,,,,,,,,,,,,,,,,,,,2798028.935,0.0,2360795.669,0.0,0.0,0.0
128,657.139,394.54,302500.0,-1,128.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,203.0,21,,,,,,,,,,,,,,,,,,,,,403880.9162,261501.796,2087568.88,958202.6104,0.0,273226.6568
129,611.1332,394.453,300400.0,-1,129.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,204.0,21,,,,,,,,,,,,,,,,,,,,,411959.5477,0.0,1926293.99,0.0,0.0,350722.8677
133,258.916,532.713,123600.0,-1,133.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,209.0,31,,,,,,,,,,,,,,,,,,,,,1628227.175,0.0,4617768.916,0.0,0.0,0.0
137,328.8105,443.938,204500.0,-1,137.0,1,neg_adduct,adduct,0,[2M-2H+K]-,NEG,214.0,46,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2888937.299,0.0,0.0,0.0
140,435.2374,274.963,471000.0,-1,140.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,218.0,7,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1307086.832,115912.1411,0.0,0.0
142,212.9101,443.642,72600.0,-1,142.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,220.0,46,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2541342.421,1194459.406,0.0,0.0
150,433.2222,274.912,761200.0,-1,150.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,228.0,12,,,,,,,,,,,,,,,,,,,,,0.0,0.0,233598.2244,0.0,0.0,0.0
166,505.3898,369.897,57600.0,1,166.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,245.0,4,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,4212342.402,0.0,0.0
191,181.05,120.719,8517000.0,-1,191.0,0,neg_adduct,adduct,0,[M-H]-,NEG,276.0,105,,,,,,,,,,,,,,,,,,,,,175649959.7,0.0,0.0,0.0,0.0,0.0
193,593.1213,448.027,5341000.0,-1,193.0,0,neg_adduct,adduct,0,[M-H]-,NEG,278.0,11,,,,,,,,,,,,,,,,,,,,,107058320.9,91641655.33,94438330.58,142002975.5,29013228.65,78288389.5
194,683.1719,448.027,5113000.0,-1,194.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,281.0,11,,,,,,,,,,,,,,,,,,,,,50878059.17,43976698.35,47181128.21,70086845.76,13894237.44,0.0
195,729.1778,446.621,3172000.0,-1,195.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,283.0,11,,,,,,,,,,,,,,,,,,,,,49367798.44,37216014.67,0.0,54564811.92,11558229.01,30075659.76
196,743.1392,438.104,2821000.0,-1,196.0,0,neg_adduct,adduct,0,[M-H]-,NEG,284.0,17,,,,,,,,,,,,,,,,,,,,,38993672.74,23354531.89,36467344.11,28956869.25,6629622.542,17245892.09
199,307.8558,513.661,497900.0,-1,199.0,0,neg_adduct,adduct,0,[M-H]-,NEG,293.0,35,,,,,,,,,,,,,,,,,,,,,44371209.42,48113302.14,47907694.41,52906926.85,47519792.72,48670498.22
200,174.9551,183.442,4612000.0,1,200.0,0,neg_adduct,adduct,0,[M-H]-,NEG,301.0,78,,,,,,,,,,,,,,,,,,,,,12834154.83,0.0,0.0,0.0,4255645.075,0.0
203,833.1891,457.467,1274800.0,-1,203.0,0,neg_adduct,adduct,0,[M-H]-,NEG,307.0,106,,,,,,,,,,,,,,,,,,,,,12630390.7,9349205.508,6684408.735,13099057.25,2007331.839,6650160.207
204,178.9768,511.769,483600.0,1,204.0,0,neg_adduct,adduct,0,[M-H]-,NEG,308.0,107,,,,,,,,,,,,,,,,,,,,,22767191.83,24410492.07,24564643.16,29199587.04,23148682.27,21862319.01
206,205.839,15.565,986300.0,1,206.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,310.0,68,,,,,,,,,,,,,,,,,,,,,5157895.267,0.0,0.0,0.0,0.0,156798.8667
207,190.9276,536.336,932600.0,1,207.0,0,neg_adduct,adduct,0,[M-H]-,NEG,311.0,31,,,,,,,,,,,,,,,,,,,,,11977885.96,0.0,0.0,0.0,19373088.48,0.0
211,190.9275,2.905,922500.0,1,211.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,321.0,30,,,,,,,,,,,,,,,,,,,,,14038279.49,12110333.52,9460212.297,0.0,8973606.056,8326469.846
218,195.0655,187.39,286700.0,-1,218.0,0,neg_adduct,adduct,0,[M-H]-,NEG,335.0,108,,,,,,,,,,,,,,,,,,,,,4678069.552,0.0,0.0,0.0,0.0,0.0
221,242.9434,8.009,411700.0,-1,221.0,0,neg_adduct,adduct,0,[M-H]-,NEG,339.0,10,,,,,,,,,,,,,,,,,,,,,2561742.827,0.0,0.0,0.0,0.0,4175129.495
222,567.0879,457.698,152800.0,-1,222.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,342.0,22,,,,,,,,,,,,,,,,,,,,,3650966.709,0.0,0.0,0.0,0.0,0.0
231,310.9309,13.632,322600.0,-1,231.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,352.0,10,,,,,,,,,,,,,,,,,,,,,1536135.105,0.0,0.0,0.0,0.0,2089605.123
233,375.8433,515.687,98500.0,-1,233.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,354.0,35,,,,,,,,,,,,,,,,,,,,,5882149.146000001,0.0,0.0,0.0,0.0,6311545.957
239,315.182,187.521,154200.0,-1,239.0,0,neg_adduct,adduct,0,[4M+Cl]-,NEG,362.0,19,,,,,,,,,,,,,,,,,,,,,1702727.865,310709.7032,1085680.939,1038530.775,0.0,0.0
247,521.0813,448.587,90400.0,-1,247.0,0,neg_adduct,adduct,0,[M-H]-,NEG,374.0,22,,,,,,,,,,,,,,,,,,,,,2305838.872,0.0,0.0,0.0,0.0,1505150.745
264,242.9431,537.098,127500.0,1,264.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,400.0,33,,,,,,,,,,,,,,,,,,,,,1963261.994,0.0,0.0,0.0,3005641.822,0.0
267,285.9086,7.032,161400.0,-1,267.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,403.0,82,,,,,,,,,,,,,,,,,,,,,2313686.103,0.0,0.0,0.0,1614448.085,0.0
270,304.9141,9.048,184300.0,-1,270.0,0,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,408.0,10,,,,,,,,,,,,,,,,,,,,,1561244.6730000002,0.0,0.0,0.0,1420214.92,1705777.594
271,239.0591,182.976,135400.0,-1,271.0,0,neg_adduct,adduct,0,[M-H]-,NEG,409.0,109,,,,,,,,,,,,,,,,,,,,,714304.4728,828372.7258,1193374.423,632697.8428,0.0,677960.3322
295,385.2955,333.642,124050000.0,-1,295.0,0,neg_adduct,adduct,0,[M-H]-,NEG,435.0,0,Bourgeanic acid,385.2954,332.001007,[M-H]-,C22H42O5,CC[C@@H](C)C[C@@H](C)[C@@H]([C@H](C)C(=O)O[C@@H]([C@H](C)C[C@H](C)CC)[C@H](C)C(=O)O)O,"InChI=1S/C22H42O5/c1-9-13(3)11-15(5)19(23)17(7)22(26)27-20(18(8)21(24)25)16(6)12-14(4)10-2/h13-20,23H,9-12H2,1-8H3,(H,24,25)/t13-,14-,15-,16-,17+,18+,19+,20+/m1/s1",ZQEUMOKDJCSNHB-IHRHECOVSA-N,Acids,Thermo Q-Exactive Focus,1.0,2,0.1,,,,,,,,0.0,0.0,0.0,0.0,5078956166.0,8838876.281
296,771.5987,333.642,221300000.0,-1,296.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,436.0,0,Bourgeanic acid,771.5986,330.955994,[2M-H]-,C22H42O5,CC[C@@H](C)C[C@@H](C)[C@@H]([C@H](C)C(=O)O[C@@H]([C@H](C)C[C@H](C)CC)[C@H](C)C(=O)O)O,"InChI=1S/C22H42O5/c1-9-13(3)11-15(5)19(23)17(7)22(26)27-20(18(8)21(24)25)16(6)12-14(4)10-2/h13-20,23H,9-12H2,1-8H3,(H,24,25)/t13-,14-,15-,16-,17+,18+,19+,20+/m1/s1",ZQEUMOKDJCSNHB-IHRHECOVSA-N,Acids,Thermo Q-Exactive Focus,1.0,10,0.1,,,,,,,,0.0,0.0,0.0,0.0,3445457204.0,0.0
298,371.2798,322.033,16600000.0,-1,298.0,0,neg_adduct,adduct,0,[M-H]-,NEG,438.0,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,603036186.2,0.0
300,743.5675,321.571,14472000.0,-1,300.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,441.0,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,137788726.7,0.0
301,793.5804,337.381,7766000.0,-1,301.0,0,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,443.0,0,Bourgeanic acid,793.5806,331.217987,[2M-2H+Na]-,C22H42O5,CC[C@@H](C)C[C@@H](C)[C@@H]([C@H](C)C(=O)O[C@@H]([C@H](C)C[C@H](C)CC)[C@H](C)C(=O)O)O,"InChI=1S/C22H42O5/c1-9-13(3)11-15(5)19(23)17(7)22(26)27-20(18(8)21(24)25)16(6)12-14(4)10-2/h13-20,23H,9-12H2,1-8H3,(H,24,25)/t13-,14-,15-,16-,17+,18+,19+,20+/m1/s1",ZQEUMOKDJCSNHB-IHRHECOVSA-N,Acids,Thermo Q-Exactive Focus,0.99,15,0.2,,,,,,,,0.0,0.0,0.0,0.0,206886576.0,0.0
302,174.9549,505.719,3497000.0,1,302.0,0,neg_adduct,adduct,0,[M-H]-,NEG,444.0,15,,,,,,,,,,,,,,,,,,,,,52447520.82,48312328.08,46290440.37,60157455.93,58500637.05,55929344.18
303,144.9222,504.796,14486000.0,-1,303.0,0,neg_adduct,adduct,0,[M-H]-,NEG,446.0,1,,,,,,,,,,,,,,,,,,,,,42719317.72,49275049.3,50931285.62,30794555.51,35065570.67,31474477.73
304,765.5491,322.033,2680000.0,-1,304.0,0,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,449.0,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,41547819.92,0.0
306,355.1582,375.196,3258000.0,-1,306.0,0,neg_adduct,adduct,0,[M-H]-,NEG,451.0,28,,,,,,,,,,,,,,,,,,,,,3014184.3230000003,3460828.31,2754197.245,8173966.466,32122755.28,7145035.062000001
307,312.8363,504.764,1214100.0,-1,307.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,453.0,1,,,,,,,,,,,,,,,,,,,,,13362272.19,12129917.69,13770895.0,11086439.62,9146914.278,8019064.471
308,207.836,507.54,2231000.0,1,308.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,454.0,76,,,,,,,,,,,,,,,,,,,,,13770173.43,12575546.75,14624751.63,14738786.97,15102583.07,14637714.73
309,439.2672,322.033,862100.0,-1,309.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,459.0,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,31376984.43,0.0
311,200.8582,504.247,847400.0,-1,311.0,1,neg_adduct,adduct,0,[2M-H]-,NEG,461.0,1,,,,,,,,,,,,,,,,,,,,,11747838.41,10849985.88,13150568.48,12689417.27,13176414.68,12645882.67
312,215.868,508.502,1261300.0,-1,312.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,462.0,62,,,,,,,,,,,,,,,,,,,,,10573753.08,9051693.748,10710782.86,11370965.33,11179658.32,10830548.2
314,357.265,293.915,897900.0,-1,314.0,0,neg_adduct,adduct,0,[M-H]-,NEG,466.0,110,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,19690073.06,0.0
316,343.2494,283.465,764000.0,-1,316.0,0,neg_adduct,adduct,0,[M-H]-,NEG,468.0,26,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,16818302.4,0.0
317,453.283,331.395,444700.0,-1,317.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,471.0,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,6432377.29,0.0
318,743.1394,457.448,3598000.0,-1,318.0,0,neg_adduct,adduct,0,[M-H]-,NEG,472.0,50,,,,,,,,,,,,,,,,,,,,,78500611.61,60456725.89,45587719.61,85043217.31,10634238.84,40465185.5
319,217.865,508.519,556900.0,-1,319.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,475.0,76,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,6785363.1620000005,0.0
322,1201.8634,333.642,1314600.0,-1,322.0,0,neg_adduct,adduct,0,[M-H]-,NEG,479.0,0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,18840604.79,0.0
324,336.8587,512.94,777200.0,-1,324.0,1,neg_adduct,adduct,0,[2M-H+HCOOH]-,NEG,481.0,18,,,,,,,,,,,,,,,,,,,,,29920523.63,37473394.72,33102705.55,35163601.37,37651087.85,33997627.09
325,385.2968,376.568,490800.0,-1,325.0,0,neg_adduct,adduct,0,[M-H]-,NEG,482.0,111,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,20897421.06,0.0
327,421.2725,337.381,465100.0,1,327.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,485.0,0,Bourgeanic acid,421.2721,332.175995,[M+Cl]-,C22H42O5,CC[C@@H](C)C[C@@H](C)[C@@H]([C@H](C)C(=O)O[C@@H]([C@H](C)C[C@H](C)CC)[C@H](C)C(=O)O)O,"InChI=1S/C22H42O5/c1-9-13(3)11-15(5)19(23)17(7)22(26)27-20(18(8)21(24)25)16(6)12-14(4)10-2/h13-20,23H,9-12H2,1-8H3,(H,24,25)/t13-,14-,15-,16-,17+,18+,19+,20+/m1/s1",ZQEUMOKDJCSNHB-IHRHECOVSA-N,Acids,Thermo Q-Exactive Focus,1.0,8,0.4,,,,,,,,0.0,0.0,0.0,0.0,21134998.76,0.0
330,242.943,505.213,741900.0,-1,330.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,493.0,15,,,,,,,,,,,,,,,,,,,,,3820793.441,4168086.056,4074778.156,4313127.632,4041985.453,4389456.444
338,132.9222,505.227,1356700.0,1,338.0,0,neg_adduct,adduct,0,[M+Cl]-,NEG,506.0,1,,,,,,,,,,,,,,,,,,,,,2161176.049,2049602.059,2048967.457,2195321.549,2730521.895,2517040.547
341,180.9724,511.714,632000.0,1,341.0,0,neg_adduct,adduct,0,[M-H]-,NEG,512.0,112,,,,,,,,,,,,,,,,,,,,,16197776.88,18181399.9,18474036.66,18788723.18,17983309.51,18751930.37
346,385.2957,407.183,626500.0,1,346.0,0,neg_adduct,adduct,0,[M-H]-,NEG,521.0,113,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,11098102.81,0.0
348,299.9191,505.019,135400.0,-1,348.0,1,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,523.0,1,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2845941.539,3098278.52
361,328.8102,504.826,345100.0,1,361.0,1,neg_adduct,adduct,0,[2M-2H+K]-,NEG,544.0,1,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3096478.738,3073319.36
362,320.8862,511.09,296000.0,-1,362.0,0,neg_adduct,adduct,0,[M-2H+K]-,NEG,545.0,15,,,,,,,,,,,,,,,,,,,,,9754348.444,10672961.85,11068888.61,11680119.18,10405652.06,9780764.549
373,328.8303,506.353,541900.0,-1,373.0,1,neg_adduct,adduct,0,[3M+Cl]-,NEG,559.0,1,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2796013.739,2391041.602
376,411.2362,282.564,124800.0,-1,376.0,0,neg_adduct,adduct,0,[M-2H+Na+HCOOH]-,NEG,565.0,26,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2949265.1560000004,0.0
377,222.8403,504.691,75200.0,-1,377.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,567.0,1,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1676982.57,1415228.826
386,789.1441,445.258,229500.0,-1,386.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,584.0,17,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1472412.884,0.0
398,417.2855,320.063,78600.0,-1,398.0,0,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,604.0,5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2186593.079,0.0
403,965.1958,499.605,896300.0,-1,403.0,0,neg_adduct,adduct,0,[M-H]-,NEG,610.0,34,,,,,,,,,,,,,,,,,,,,,4910680.781,3275001.34,2201276.221,5145364.078,2052358.253,2953110.493
404,285.9086,533.228,181400.0,-1,404.0,1,neg_adduct,adduct,0,[M-H+HCOOH]-,NEG,611.0,66,,,,,,,,,,,,,,,,,,,,,1755307.3380000002,3564573.96,3711310.221,3620918.381,3286997.602,2578858.74
417,733.3059,375.123,275000.0,-1,417.0,1,neg_adduct,adduct,0,[2M-2H+Na]-,NEG,637.0,28,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,790761.9647,0.0
